id,trace_id,chunk_id,document_id,document_version_id,document_title,page_number,chunk_type,retrieval_source,retrieval_rank,retrieval_score,selected_for_context,rejected_reason,metadata_json,created_at
8481108e-28fe-43b2-b42c-deedcfa652c2,00668399-195a-490f-8f63-26ab25a58225,,,,SPMB Prestasi -MEMILIKI_JADWAL-> Uji Psikotest dan Uji Kesehatan dilaksanakan pada 6 dan: 7 Maret 2026,,graph,graph,1,,t,,"{""entity_type"": ""Jadwal"", ""entity_name"": ""Uji Psikotest dan Uji Kesehatan dilaksanakan pada 6 dan: 7 Maret 2026"", ""relation"": ""MEMILIKI_JADWAL"", ""related_to"": ""SPMB Prestasi""}",2026-07-24 14:56:27.396466+00
af5505e3-4ac2-404f-8ce4-06c8c487e014,00668399-195a-490f-8f63-26ab25a58225,a1ce3390-39c3-4fb5-8e99-04d0939421df,1e05c30d-3972-42eb-9db4-f3e5d345edc0,,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,vector,1,0.7038017999999999,t,,"{""chunk_id"": ""a1ce3390-39c3-4fb5-8e99-04d0939421df"", ""document_id"": ""1e05c30d-3972-42eb-9db4-f3e5d345edc0"", ""document_title"": ""Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027"", ""document_type"": ""Pedoman"", ""page"": -1, ""section"": ""I. Pengumuman Calon Mahasiswa Baru yang Diterima"", ""chunk_index"": 21, ""status"": ""approved"", ""content"": ""Seleksi CBT 23 Juni 2026 6 Tes Toefl (Kelas Internasional) * 24 Juni 2026 7 Pelaksanaan Uji Kesehatan * 24 s/d 26 Juni 2026 8 Unggah uji kesehatan terakhir 27 Juni 2026 9 Pengumuman kelulusan akhir 30 Juni 2026 10 Registrasi dan Pemberkasan Mahasiswa baru 1 \u2013 4 Juli 2026 11 PKKMB 27-31 Juli 2026 12 Pelaksanaan Perkuliahan 3 Agustus 2026 * Jadwal tentative 14 14 F. Pelaksanaan CBT SPMB Mandiri 1. Administrasi Pemeriksaan dokumen (Kartu Peserta Ujian, KTP/SIM/Identitas lain yang terdapat foto) dilakukan pada saat ujian CBT. Apabila ditemukan ketidaksesuaian maka dinyatakan gugur dan tidak dapat mengikuti ujian CBT. 2. \nMateri Ujian CBT \nUjian CBT SPMB Mandiri Poltekkes Kemenkes Yogyakarta Tahun Akademik \n2026/2027 dilaksanakan di Gedung G Lantai 5 Poltekkes Kemenkes Yogyakarta. \nAlokasi pengerjaan soal adalah 90 menit, dengan pengaturan sesi yang tersedia \nsetiap hari sebagai berikut: \n\u25aa Sesi I: 08.00 \u2013 09.30 WIB atau 09.00 \u2013 10.30 WITA atau 10.00 \u2013 11.30 WIT \n\u25aa Sesi II: 10.30 \u2013 12.00 WIB atau 11.30 \u2013 13.00 WITA atau 12.30 -14.00 WIT \n\u25aa Sesi III: 13.30 \u2013 15.00 WIB atau 14.30 - 16.00 WITA atau 15.30 -17.00 WIT \nMateri ujian CBT berbentuk Tes Potensi Skolastik dan Literasi dimana berfokus \npada kemampuan penalaran dan pemecahan masalah calon mahasiswa. Tes \nPotensi Skolastik dan Literasi ini mengukur hal-hal sebagai berikut: \nKomponen \nSubkomponen \nJumlah \nsoal \nWaktu \nTes Potensi Skolastik \n70 butir \n90 menit \na) Kemampuan Penalaran \nUmum \nPenalaran Induktif \nPenalaran Deduktif \nPenalaran Kuantitatif \nb) Pengetahuan dan \nPemahaman Umum \n- \nc) Kemampuan Memahami \nBacaan \n- \nd) Pengetahuan Kuantitatif \n- \nTes Literasi \na) Literasi dalam Bahasa \nIndonesia \n- \nb) Literasi dalam Bahasa Inggris \n- \nc) Penalaran Matematika \n- \n 3. \nPenilaian Hasil Ujian \na. Panitia \nmelakukan \nproses \npenilaian \ndan \npemeringkatan \nhasil \nujian \nmenggunakan sistem aplikasi SPMB \nb. Penilaian Hasil Ujian didasarkan pada penilaian sebagai berikut: \nNilai mentah skolastik dan literasi ( Benar : + 1, Salah : 0 , Kosong:0 ) \n \n \nAdministrasi \nMateri Ujian CBT \nPenilaian Hasil Ujian \n \n15 \n \n15 \n \n \n \nG. Penentuan Penilaian \nKetentuan kelulusan Seleksi Sipenmaru Jalur Mandiri: \nTahap I \n: \nKelulusan berdasarkan pada kelengkapan data, berkas, dan dokumen \nTahap II \n: \nKelulusan berdasarkan hasil ujian tulis/CBT berdasarkan urutan ranking \nnilai, untuk kelas internasional ditambah berdasarkan ranking nilai Toefl. \nTahap III \n \n \n \n \n: \nKelulusan berdasarkan pada tes kesehatan yang dilakukan oleh tim \nyang ditunjuk Poltekkes Kemenkes Yogyakarta yang meliputi sehat fisik \ndan tes wawancara untuk Prodi Keperawatan dan Prodi DIII Rekam \nMedis dan Informasi Kesehatan dan menjadi penentu kelulusan. Biaya \nuji kesehatan sebesar Rp. 100.000,- (seratus ribu rupiah) \n \nH. Penetapan Kelulusan 1. Penetapan kelulusan dinyatakan setelah peserta lulus semua tahap 2. Penetapan calon mahasiswa baru Poltekkes yang diterima tersebut dibuat dalam \npengumuman yang ditandatangani oleh Ketua Panitia Poltekkes dan diketahui oleh \nDirektur. 3. Penetapan kelulusan menentukan peserta lulus utama dan peserta lulus cadangan. \n \nI. Pengumuman Calon Mahasiswa Baru yang Diterima \nKelulusan SPMB Mandiri sebagai Calon mahasiswa baru yang diterima (utama dan \ncadangan) diumumkan oleh Ketua Panitia Sipenmaru Poltekkes Kemenkes Yogyakarta \ndiketahui Direktur Poltekkes Kemenkes Yogyakarta. \n \nJ. Pendaftaran Ulang bagi Calon Mahasiswa Baru yang Diterima""}",2026-07-24 14:56:27.396466+00
cac13237-e294-4a13-ab8b-a26bf5a06d38,00668399-195a-490f-8f63-26ab25a58225,,,,SPMB Prestasi -MEMILIKI_JADWAL-> Kes pada: 10 Maret 2026,,graph,graph,2,,t,,"{""entity_type"": ""Jadwal"", ""entity_name"": ""Kes pada: 10 Maret 2026"", ""relation"": ""MEMILIKI_JADWAL"", ""related_to"": ""SPMB Prestasi""}",2026-07-24 14:56:27.396466+00
6c503b7b-67a2-4548-b980-17d1ee4b9ae1,00668399-195a-490f-8f63-26ab25a58225,182c25c5-6f2b-4c51-808a-df2f0388fcf1,dc8b13d6-9955-44ea-b18e-73c2bede353c,,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,,text,vector,2,0.7192393,t,,"{""section"": ""M. Pengumuman Calon Mahasiswa Baru yang Diterima"", ""token_count"": 398, ""page"": -1, ""chunk_id"": ""182c25c5-6f2b-4c51-808a-df2f0388fcf1"", ""status"": ""approved"", ""chunk_index"": 28, ""document_type"": ""Pedoman"", ""document_title"": ""PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027"", ""document_id"": ""dc8b13d6-9955-44ea-b18e-73c2bede353c"", ""content"": ""Jadwal pelaksanaan SPMB Prestasi meliputi pendaftaran pada 12 Januari s.d. 25 Februari 2026, melengkapi berkas s.d. 25 Februari 2026, verifikasi berkas pada 19 Januari s.d. 27 Februari 2026, pengumuman Tahap II pada 3 Maret 2026, tes TOEFL (Kelas Internasional) pada 4 Maret 2026, tes untuk Prestasi Hafidzh pada 5 Maret 2026, uji kesehatan dan psikotes pada 4 s.d. 7 Maret 2026, pengumuman akhir (Tahap III) pada 10 Maret 2026, daftar ulang pada 11 s.d. 14 Maret 2026, PKKMB pada 27 \u2013 31 Juli 2026, dan perkuliahan pada 3 Agustus 2026. Ketentuan kelulusan SPMB Prestasi terdiri dari Tahap I (kelengkapan data dan berkas), Tahap II (pemeringkatan nilai prestasi akademik, minat, dan bakat), serta Tahap III (tes kesehatan oleh tim Poltekkes Kemenkes Yogyakarta dengan biaya uji kesehatan Rp 600.000,-, tes wawancara untuk Jurusan Keperawatan, dan tes hafidz untuk prestasi Hafidzh). Penetapan kelulusan dilakukan setelah peserta lulus semua tahap, dengan pengumuman yang ditandatangani oleh Ketua Panitia dan diketahui Direktur, serta menentukan peserta lulus utama dan cadangan. Calon mahasiswa baru yang diterima (utama dan cadangan) akan diumumkan oleh Ketua Panitia SPMB Poltekkes Kemenkes Yogyakarta. Pendaftaran ulang bagi peserta lulus utama wajib membayar biaya daftar ulang dan melengkapi berkas dalam bentuk *softfile* ke *Link""}",2026-07-24 14:56:27.396466+00
48f22be9-8528-4c75-84b4-a272a368dd92,00668399-195a-490f-8f63-26ab25a58225,69c6939e-1653-466f-abb1-82c84f1ef5a6,04a2aa5a-6c70-4a2e-91df-86e39b804409,,Pedoman SPMB Mandiri Profesi 2026,,text,vector,3,0.7027483999999999,t,,"{""page"": -1, ""status"": ""approved"", ""chunk_id"": ""69c6939e-1653-466f-abb1-82c84f1ef5a6"", ""document_title"": ""Pedoman SPMB Mandiri Profesi 2026"", ""token_count"": 500, ""section"": """", ""document_type"": ""Pedoman"", ""chunk_index"": 6, ""document_id"": ""04a2aa5a-6c70-4a2e-91df-86e39b804409"", ""content"": ""Jadwal kegiatan meliputi Daftar Ulang pada 13 s/d 16 April 2026 dan 14 s/d 19 Mei 2026, Bridging pada 5 Mei 2025, PKKMB pada 27 \u2013 31 Juli 2026, dan Perkuliahan dimulai 3 Agustus 2026. Ujian CBT SPMB Mandiri Poltekkes Kemenkes Yogyakarta Tahun Akademik 2026/2027 dilaksanakan secara daring dengan materi keprofesian. Penentuan kelulusan melalui tiga tahap: kelengkapan data, hasil ujian CBT berdasarkan ranking nilai, dan tes kesehatan oleh tim Poltekkes Kemenkes Yogyakarta yang meliputi sehat fisik, bebas narkoba, dan tidak hamil bagi perempuan (biaya uji kesehatan Rp 600.000,-). Penetapan kelulusan dilakukan setelah peserta lulus semua tahap, dengan penetapan peserta lulus utama dan cadangan dalam berita acara yang ditandatangani Ketua Panitia dan diketahui Direktur. Pengumuman calon mahasiswa baru (utama dan cadangan) dilakukan oleh Ketua Panitia dan diketahui Direktur. Calon mahasiswa baru yang diterima (lulus utama) wajib melakukan registrasi dengan membayar biaya daftar ulang sesuai program studi dan melengkapi berkas melalui link http://spmb.poltekkesjogja.ac.id, termasuk mengisi biodata, scan ijazah, transkrip nilai, KTP, Kartu Keluarga, foto berwarna 4x6 cm latar putih, bukti pembayaran daftar ulang, JKN, surat pernyataan, SK Tugas Belajar (jika ada), dan KITAS bagi WNA. Pendaftaran ulang bagi peserta cadangan akan diinformasikan lebih lanjut. Biaya daftar ulang terlampir di website Poltekkes Kemenkes Yogyakarta (http://www.poltekkesjogja.ac.id). Calon mahasiswa baru yang mengundurkan diri""}",2026-07-24 14:56:27.396466+00
2c2664f8-beb8-4700-91cb-a7937d1e23c7,00668399-195a-490f-8f63-26ab25a58225,,,,"SPMB Prestasi -MEMILIKI_JADWAL-> Pembayaran (UKT, Seragam, dan Asrama) dilakukan pada 11: 14 Maret 2026",,graph,graph,3,,t,,"{""entity_type"": ""Jadwal"", ""entity_name"": ""Pembayaran (UKT, Seragam, dan Asrama) dilakukan pada 11: 14 Maret 2026"", ""relation"": ""MEMILIKI_JADWAL"", ""related_to"": ""SPMB Prestasi""}",2026-07-24 14:56:27.396466+00
0ecbb1c6-4e67-4b47-9415-1947937d6aa5,00668399-195a-490f-8f63-26ab25a58225,c9087ffd-6add-407b-be8d-88f2f65bbaab,da6fb24e-c81b-4a47-9c3c-4a77c6d6d14e,,Tata Tertib Ujian CBT SPMB Mandiri Reguler SMA 2026,,text,vector,4,0.7176866,t,,"{""chunk_id"": ""c9087ffd-6add-407b-be8d-88f2f65bbaab"", ""document_id"": ""da6fb24e-c81b-4a47-9c3c-4a77c6d6d14e"", ""document_title"": ""Tata Tertib Ujian CBT SPMB Mandiri Reguler SMA 2026"", ""document_type"": ""Pedoman"", ""page"": -1, ""section"": """", ""chunk_index"": 0, ""status"": ""approved"", ""content"": ""PENGUMUMAN Nomor: KH.01.01/F.XIX/3604/2026 TATA TERTIB PELAKSANAAN UJIAN CBT SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) MANDIRI REGULER SMA POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027 (RABU PON, 17 JUNI 2026 \u2013 SABTU PON, 20 JUNI 2026) Bersama ini disampaikan Tata Tertib Pelaksanaan Ujian CBT SPMB Mandiri Reguler SMA Tahun Akademik 2026/2027 sebagai berikut : A. Breefing 1. Seluruh peserta wajib mengikuti breefing pada hari Senin Pon, 15 Juni 2026 pukul 10.00 WIB secara daring. 2. Link zoom akan dikirim melalui Email masing-masing peserta oleh Panitia Lokal (apabila email belum masuk bisa cek di spam email), jika kapasitas zoom tidak cukup dapat mengikuti melalui canel Youtube 3. Link lengkap informasi lainnya dapat dilihat pada link berikut: http://s.kemkes.go.id/spmb-mandiri-sma-2026 B. Ketentuan Khusus 1. Bagi peserta yang sedang sakit diwajibkan menggunakan masker 2. Pemeriksaan peserta sebelum masuk ruang ujian menggunakan metal detector C. Kehadiran: 1. Peserta hadir di lokasi ujian 60 menit sebelum waktu pelaksanaan ujian untuk melakukan registrasi dan pencatatan lainnya 2. Peserta memasuki ruang CBT 30 menit sebelum waktu ujian berlangsung 3. Ujian akan dilaksanakan selama 90 menit dengan jumlah soal 70 4. Peserta mengenakan pakaian lengan panjang (sopan, rapi, dan bersepatu) 5. Membawa alat sholat dan keperluan pribadi 6. Tidak diperkenankan menggunakan a. Kaos oblong, berbahan jeans (baju/celana/rok jeans/kudorai dan sejenisnya), b. Sendal jepit atau sandal dalam bentuk dan model apapun D. Peserta wajib membawa : 1. Setiap peserta wajib membawa kartu peserta ujian CBT SPMB Mandiri Reguler SMA 2026 2. Peserta harus menunjukkan bukti identitas (ktp/sim/paspor) asli/ identitas lain yang ada fotonya ditunjukkan kepada pengawas 3. Peserta diwajibkan membawa pensil ke Ruang CBT 4. Pas foto yang ditempel sama dengan foto yang terdapat di aplikasi ujian (apabila foto tidak muncul pada kartu ujian) E. Peserta ujian dilarang membawa barang ini ke ruang karantina dan ruang ujian 1. HP / Laptop / Tablet 2. Jam tangan 3. Kalkulator 4. Alat perekam / kamera 5. Barang elektronik yg memiliki perangkat penyimpanan 6. Alat tulis, kecuali pensil 7. Buku referensi, catatan atau kertas 8. Tas / Koper 9. Rokok / Korek / Pemantik Api 10.Makanan & Minuman F. Alat komunikasi: 1. Seluruh alat komunikasi harus dimatikan dan disimpan ditempat yang telah disediakan oleh panitia pelaksana 2. Seluruh barang-barang termasuk buku, catatan atau tas peserta, dikumpulkan di tempat yang telah disediakan oleh panitia ujian (ruang penitipan barang) 3. Peserta dihimbau untuk tidak membawa barang berharga yang tidak diperlukan untuk pelaksanaan ujian G. Penunjuk waktu: Penunjuk waktu tersedia di layar monitor, sehingga peserta tidak perlu membawa atau menggunakan arloji/jam tangan H. Pelaksanaan ujian: 1. Username dan password peserta akan diberikan pada saat akan memasuki ruang ujian 2. Peserta diminta memperhatikan aba-aba atau petunjuk pengawas 3. Peserta tidak diperkenankan menggunakan/mengoperasikan Work Station sampai diinstruksikan oleh pengawas 4. Peserta hanya diperkenankan menandatangani dokumen dengan""}",2026-07-24 14:56:27.396466+00
4f7d02d6-441f-4d0b-bfa3-89b2b5ab4ba0,00668399-195a-490f-8f63-26ab25a58225,,,,SPMB Prestasi -MEMILIKI_JADWAL-> men ini ditandatangani secara elektronik di Yogyakarta pada: 10 Maret 2026,,graph,graph,4,,t,,"{""entity_type"": ""Jadwal"", ""entity_name"": ""men ini ditandatangani secara elektronik di Yogyakarta pada: 10 Maret 2026"", ""relation"": ""MEMILIKI_JADWAL"", ""related_to"": ""SPMB Prestasi""}",2026-07-24 14:56:27.396466+00
5c6a0ea0-6622-49a1-bc12-2bbc234866b7,00668399-195a-490f-8f63-26ab25a58225,fea2b8ee-275e-444d-8ce9-8c85c5294370,ddda6f91-5d4b-46ed-af5c-1b6cdc8e893b,,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,,text,vector,5,0.7445235800000001,t,,"{""token_count"": 500, ""page"": -1, ""document_id"": ""ddda6f91-5d4b-46ed-af5c-1b6cdc8e893b"", ""chunk_id"": ""fea2b8ee-275e-444d-8ce9-8c85c5294370"", ""status"": ""approved"", ""chunk_index"": 3, ""document_type"": ""Pengumuman"", ""section"": """", ""document_title"": ""Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026"", ""content"": ""Dokumen ini berisi jadwal Uji Kesehatan di Poltekkes Kemenkes Yogyakarta Jalur SPMB Prestasi Tahun 2026 untuk lulus utama berbagai jurusan dan program studi, yang akan dilaksanakan pada Jumat Pahing, 6 Maret 2026 (07.00 WIB) dan Sabtu Pon, 7 Maret 2026 (07.00 WIB), meliputi Psikotest, Uji Fisik dan Penunjang, serta Foto Thorax. Selain itu, terdapat pengumuman penyelenggaraan Competency Test of English as a Foreign Language (CTEFL) bagi calon mahasiswa Prodi Sarjana Terapan Keperawatan Kelas Internasional SPMB Prestasi Tahun Akademik 2026/2027 yang akan dilaksanakan secara daring pada Rabu Kliwon, 4 Maret 2026 pukul 09.30 \u2013 11.30 WIB, dengan ketentuan dan tata cara pelaksanaan yang terperinci. Dokumen ini ditandatangani secara elektronik oleh Dr. Iswanto, S.Pd, M.Kes, Direktur Politeknik Kesehatan Yogyakarta, pada 3 Maret 2026.""}",2026-07-24 14:56:27.396466+00
afa9d453-7fea-4eb6-b0b2-7370e1f42189,00668399-195a-490f-8f63-26ab25a58225,,,,"SPMB Prestasi -MEMILIKI_JADWAL-> ggal 27-31 Juli 2026, perkuliahan yang dimulai pada tanggal: 3 Agustus 2026",,graph,graph,5,,t,,"{""entity_type"": ""Jadwal"", ""entity_name"": ""ggal 27-31 Juli 2026, perkuliahan yang dimulai pada tanggal: 3 Agustus 2026"", ""relation"": ""MEMILIKI_JADWAL"", ""related_to"": ""SPMB Prestasi""}",2026-07-24 14:56:27.396466+00
