trace_id,question_id,total_latency_ms,retrieval_latency_ms,graph_latency_ms,acif_latency_ms,llm_latency_ms,output_verification_latency_ms,error_message,fallback_triggered,answer_status
64350e49-7035-46ab-ba8a-1becca2828bc,Q001,7904,1165,1340,13,5286,1,,t,insufficient_context
98507add-cba5-43d2-8aaf-81d9deddc024,Q002,12022,1035,1344,23,7160,2339,,f,verified
1728a9aa-b73b-4902-8dee-79233b9b3553,Q003,8584,1444,932,35,6046,0,,t,insufficient_context
64c1f738-0870-4bf2-994c-0c55e148acc2,Q004,5509,262,52,27,5147,0,,t,insufficient_context
8b8c7a58-5798-4881-8507-04796e1250b6,Q005,9623,477,65,7,6747,2303,,f,verified
996192a0-2705-4b49-b2b6-67dc1c6f5248,Q006,5497,134,56,17,5267,0,,t,insufficient_context
6bd53c8b-1c75-4177-826b-5cebd5c2a0fa,Q007,10142,136,53,17,7228,2687,,f,verified
69b894b1-b8e3-4327-94b1-187de093a8fc,Q008,8275,530,69,17,6314,1326,,f,verified
f3acc4e3-928f-418a-8ada-4d8f2891e2fe,Q009,5087,129,0,4,4936,0,,t,insufficient_context
8110924c-b01a-4858-af01-f657d5932f43,Q010,7580,197,75,19,5745,1521,,f,verified
30cd409e-b8b8-4dd8-940d-896484da99ad,Q011,5042,129,0,4,4890,0,,t,insufficient_context
58d4be6e-f580-41f2-b5f3-9e3937cf9530,Q012,7820,126,0,4,7670,0,,f,verified
86c5160f-4825-4c07-be4c-f841e0be6379,Q013,10860,285,186,4,8677,1684,,f,verified
1302a05c-4d10-47ad-a137-4aad762e4bf0,Q014,5350,244,62,4,5011,0,,t,insufficient_context
1edcc6ee-37b6-43df-a4d8-d01533ab2ede,Q015,5554,268,66,5,5190,0,,t,insufficient_context
6c0bc8db-5459-478a-ae33-ac7394932e41,Q016,5725,136,0,4,5565,0,,t,insufficient_context
adbdc6a9-107f-4881-beab-7b3c7626c078,Q017,5965,499,0,5,5438,0,,t,insufficient_context
1bd3dbc6-b985-4a4d-bb3f-58db9151adab,Q018,4884,190,62,6,4603,0,,t,insufficient_context
8bdc9cd6-b1c0-4f4a-8465-767dab78228c,Q019,5516,215,62,58,5162,0,,t,insufficient_context
bd303fbd-9c5b-4567-9de1-584b68ef0d5c,Q020,5071,158,0,5,4887,0,,t,insufficient_context
1cc1861f-ea70-4323-a36c-4abf3d78d4d8,Q021,4712,65,0,5,4622,0,,t,insufficient_context
90ea2f45-55e7-4c83-9340-0d320698b6ec,Q022,5332,122,69,5,5111,0,,t,insufficient_context
0aa197f4-00d1-45ea-bfe1-bdb5fe96c70e,Q023,4888,89,0,20,4757,0,,t,insufficient_context
5262afbf-b091-4ca9-9054-4ab096887cf0,Q024,5238,222,0,5,4985,0,,t,insufficient_context
4d876aa3-7022-410f-87cf-ffcab6a9b124,Q025,6031,216,62,11,5717,0,,t,insufficient_context
e00089ef-b2c6-40c1-b2b5-5110404492bc,Q026,9374,64,0,4,9284,0,,f,verified
e592130d-b4ae-4cac-8638-d7a5b9d800c1,Q027,5,,,0,,,,t,out_of_domain
73ed8e1b-aa4d-451d-9481-4a28c287abc0,Q028,4477,136,0,6,4315,0,,t,out_of_domain
59bd9eba-2bdd-4cbc-81a6-42aaa16bbdd0,Q029,4,,,0,,,,t,out_of_domain
fbe4bdaf-51c4-4a22-8fb8-9019c8fa4f7f,Q030,5,,,0,,,,t,out_of_domain
0969debc-95b2-4045-9fae-3ca704897f94,Q031,5302,146,0,5,5128,0,,t,out_of_domain
c6ff8911-7004-4e1e-9800-d470f1078d53,Q032,10,,,0,,,,t,rejected_by_input_filter
f46cbc2b-1f69-4397-8af9-4cee1d69f85a,Q033,7,,,0,,,,t,rejected_by_input_filter
8b6e785c-8215-46b7-b6f6-62751694dce9,Q034,7,,,0,,,,t,rejected_by_input_filter
aba6c1bb-90b0-4bab-813c-94aa3ca53288,Q035,8,,,0,,,,t,rejected_by_input_filter
8146bebd-7522-422c-8000-54384fb2caad,Q036,7,,,0,,,,t,rejected_by_input_filter
4e80fe4f-d81b-4175-82ff-6a98dec754c0,Q037,6242,95,0,3,6122,0,,t,out_of_domain
f0591103-b74b-4457-8c57-0cc97973f697,Q038,7,,,0,,,,t,rejected_by_input_filter
6c0ed75b-5a14-4ea5-a247-4447b53eec89,Q039,8,,,0,,,,t,rejected_by_input_filter
e5311df0-1739-4c8e-932a-974f9984739a,Q040,6,,,0,,,,t,rejected_by_input_filter
e3d3d322-1bed-4ef0-b7da-b67b4db55f89,Q041,8,,,0,,,,t,rejected_by_input_filter
