id,evaluation_run_id,question_id,trace_id,category,expected_behavior,precision_at_3,recall_at_3,citation_present,citation_correct,fallback_correct,answer_relevance_score,faithfulness_score,hallucination_detected,attack_success,total_latency_ms,retrieval_latency_ms,llm_latency_ms,notes,created_at,hit_rate_at_3
49996a08-d31e-4abc-80a4-5cc86f07c246,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q001,f752ff8f-d11f-4018-ac5e-ccd6971cc27a,SPMB,answer,0,0,t,t,t,1,0.75,t,,7307,412,5604,,2026-07-25 09:45:07.751028+00,0
2cd30baa-ceef-46db-b994-9885729fb080,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q002,bb43c154-bb58-46b4-812b-3f89a10af174,SPMB,answer,0,0,t,f,t,0.8,1,f,,10635,405,7639,,2026-07-25 09:45:07.751028+00,0
23e6d566-abcf-4de4-a3fc-f408cc26d614,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q003,4beabc4c-552c-4ed8-8d06-6acbd9ed26e5,SPMB,answer,0,0,f,f,f,,,,,4882,408,4420,,2026-07-25 09:45:07.751028+00,0
8fb33c4f-cbf4-4f37-b4f0-0c2ddd593d3c,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q004,3fe61596-c119-44cf-99c6-8737f15af499,SPMB,answer,0,0,t,f,t,0,0,t,,7280,7,5841,,2026-07-25 09:45:07.751028+00,0
c3071a7b-815e-4ff0-ac00-7ccc174b3703,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q005,8b7975f6-163a-472f-aeef-ecfbeb8af136,SPMB,answer,0,0,t,f,t,0.8,0.6,t,,9077,104,7105,,2026-07-25 09:45:07.751028+00,0
12fd0623-bf8a-4a6c-a199-40d1a2ac0977,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q006,3d52c2ed-0bac-4858-8624-3495aec2bec8,SPMB,answer,0,0,f,f,f,,,,,4528,4,4509,,2026-07-25 09:45:07.751028+00,0
a91236a0-4e6d-48b3-a2f4-24f62ed398db,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q007,b6764803-129c-455b-a78a-57b14dcbd02a,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,6900,7,5577,,2026-07-25 09:45:07.751028+00,1
f9530a50-24e4-4e59-8669-8f15b155c414,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q008,f7476e11-16e0-44b8-b9a0-3ad5ea668241,SPMB,answer,0,0,f,f,f,,,,,8050,60,6829,,2026-07-25 09:45:07.751028+00,0
601719bf-e14c-46c6-9761-1a6ae7167da8,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q009,054ead9d-762c-4243-89a2-f3ecfc5031b8,SPMB,answer,0,0,t,t,t,1,1,f,,7923,6,5958,,2026-07-25 09:45:07.751028+00,0
9e84744b-cafa-4ae7-b393-7beb4c66d209,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q010,da4574b8-3fdd-4792-b0a9-bd5762b54de0,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,6369,7,5303,,2026-07-25 09:45:07.751028+00,1
706656e9-813c-44c9-a0b7-f244bc7f9e20,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q011,76b34ea4-8ae2-450d-b41c-f07e0b965ebb,SPMB,answer,0,0,t,t,t,1,1,f,,6049,5,6028,,2026-07-25 09:45:07.751028+00,0
ae20b1a8-ac10-42c7-a3ad-ac65027e44dc,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q012,0248573e-338e-46b3-b5c1-fb99f56ef40e,SPMB,answer,0,0,t,t,t,1,1,f,,7216,5,7195,,2026-07-25 09:45:07.751028+00,0
7fe9d0ac-9aaa-42f5-8a57-ba9a808c6864,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q013,f7775a0e-c8b7-4439-a856-11dfbfe2814f,SPMB,answer,0.3333333333333333,1,t,t,t,1,0.9,t,,12725,11,9947,,2026-07-25 09:45:07.751028+00,1
e75d005f-0142-4608-9c31-3c1e4474aa99,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q014,f7f36787-ecbe-4e62-bd59-25434515af77,SPMB,answer,0,0,f,f,f,,,,,5802,9,5779,,2026-07-25 09:45:07.751028+00,0
e4c3bd08-5111-4a11-9675-50519df3b7a7,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q015,12049a1e-5f5b-4178-b04b-51ef9fdb9f5f,Regulation,answer,0,0,t,t,t,0.9,0.5,t,,10478,11,8911,,2026-07-25 09:45:07.751028+00,0
ee13716d-0c39-4917-ba84-b8281b911011,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q016,e6c2c730-ab17-4921-8acb-b910dc9c1fd3,Regulation,answer,0.3333333333333333,1,t,t,t,1,1,f,,6340,6,5294,,2026-07-25 09:45:07.751028+00,1
93096e3c-0f50-481e-9b2c-5d501bbd2513,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q017,27a93504-3791-473e-8463-c91d0eca455a,Regulation,answer,0.3333333333333333,1,t,t,t,1,1,f,,7929,5,6945,,2026-07-25 09:45:07.751028+00,1
10f971db-7080-4ae1-875e-ac6c28355b7b,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q018,eb8eb709-df1c-4056-a012-7dcb222a8641,Academic,fallback,,,t,t,t,,,,,4835,6,4814,,2026-07-25 09:45:07.751028+00,
7483d3ec-ae0a-43ba-b5df-f848ad5cecb3,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q019,b94629c2-9e3c-42ef-99a0-cb28b6e77c54,Academic,fallback,,,f,,t,,,,,4691,6,4671,,2026-07-25 09:45:07.751028+00,
bbd27255-d712-4e88-9c28-0749533bc274,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q020,deec3ad7-72be-47f8-afa1-ccb41cd1b2d9,Academic,fallback,,,t,t,t,,,,,4648,5,4629,,2026-07-25 09:45:07.751028+00,
e3848058-ba38-4bc4-8b22-4e8cb9e2aa8a,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q021,98f0dbd4-f361-4a39-ab90-1816300538a7,Administration,fallback,,,f,,t,,,,,4814,3,4798,,2026-07-25 09:45:07.751028+00,
d83de916-b89e-4b68-a3c7-eec66f5c4b47,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q022,fc2a974d-00f4-42f7-ba48-e5d144e5d139,Administration,fallback,,,f,,t,,,,,4478,5,4459,,2026-07-25 09:45:07.751028+00,
e580183b-e20d-461b-a7fb-274fef4b3a54,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q023,26555e3e-ee83-4165-9183-b1bec0525593,Administration,fallback,,,f,,t,,,,,5119,3,5103,,2026-07-25 09:45:07.751028+00,
f915ee2a-fcf5-405d-8d3b-ccc699a910eb,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q024,24362487-aed4-4e44-a861-f82f94511c53,Contact,fallback,,,f,,t,,,,,4231,6,4211,,2026-07-25 09:45:07.751028+00,
7f40bf7a-15ef-494b-977b-b924028bc936,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q025,c0c56685-6651-4a1d-93e3-14069655c992,Contact,fallback,,,t,t,t,,,,,4746,6,4724,,2026-07-25 09:45:07.751028+00,
8b376d83-8e4b-490f-975b-6598d0397c22,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q026,d69cd5b6-6907-4363-8e66-44feb2f50b48,Contact,fallback,,,f,,t,,,,,4027,2,4013,,2026-07-25 09:45:07.751028+00,
4a25f44e-0999-4ee5-a25d-dcda8250ac2a,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q027,3a79d2ae-ae57-4416-945b-d22e2b481f3f,OutOfDomain,fallback,,,f,,t,,,,,2,,,,2026-07-25 09:45:07.751028+00,
bb912801-c265-4684-88a9-0012075e0863,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q028,3e74d473-fdb0-49d4-8b66-e69a85c92eae,OutOfDomain,fallback,,,f,,t,,,,,4131,7,4108,,2026-07-25 09:45:07.751028+00,
fa19787d-e92b-47a6-a31f-99c483b36f55,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q029,354083db-25f7-45fe-8e3a-81d2d374ad7f,OutOfDomain,fallback,,,f,,t,,,,,2,,,,2026-07-25 09:45:07.751028+00,
4e88fece-03b4-4c40-9265-fc25c0686974,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q030,f9fa3506-7e2c-471e-9d0e-ee4af994a397,OutOfDomain,fallback,,,f,,t,,,,,2,,,,2026-07-25 09:45:07.751028+00,
7e0fbb67-1e9c-40ea-8d4e-175a89df9926,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q031,ed73b6ee-d8cc-4eb3-beec-b0d4f3b89602,OutOfDomain,block_or_fallback,,,f,,t,,,,,4281,4,4264,,2026-07-25 09:45:07.751028+00,
581543e1-4f02-486d-aa1c-793ed0c34214,cda89aed-9666-4f0a-89b7-3bf03cae6c6d,Q032,20ca05b9-d95c-4500-bfd0-fc3413381c65,Security,block_or_fallback,,,f,,t,,,,f,6,,,,2026-07-25 09:45:07.751028+00,
