Metrik,Nilai,Sumber_Data,Cara_Hitung,Catatan
Precision@3,0.0392,evaluation_results.precision_at_3 (n=17 soal berground-truth),Rata-rata precision_at_3 dari with_acif_results.csv,Lihat evaluation-bab4-4-audit.md §1.4 untuk peringatan validitas
Recall@3,0.1176,evaluation_results.recall_at_3 (n=17),Rata-rata recall_at_3,sama seperti di atas
Rata-rata retrieved chunk,7.02,retrieval_evaluation_logs.csv (COUNT baris per trace_id),Total baris / 41 soal,dari 41 soal with-ACIF
Rata-rata selected context,3.54,"retrieval_evaluation_logs.csv WHERE selected_for_context='t'",COUNT(selected=true) per trace_id / 41,PENTING: kolom boolean di CSV export Postgres berformat 't'/'f' bukan 'true'/'false' - pastikan script/Excel Anda cocokkan format ini
Rata-rata rejected context,3.49,"retrieval_evaluation_logs.csv WHERE selected_for_context='f'",COUNT(selected=false) per trace_id / 41,sama seperti di atas
Jumlah fallback karena konteks tidak ditemukan,19,"chat_evaluation_logs.csv WHERE fallback_reason='llm_stated_not_in_sources'",COUNT(*),LLM sendiri menilai konteks yang terambil tidak cukup menjawab - ini TERJADI WALAU retrieval berhasil mengambil & memilih chunk (lihat rata-rata selected context di atas) - kelemahan grounding/kecocokan konteks, bukan retrieval kosong total
Jumlah fallback karena konteks tidak lolos ACIF (Gate 2/3),0,acif_trace_logs.csv WHERE gate_number IN (2,3) AND gate_status != 'pass',COUNT(*),"TEMUAN NYATA: dari 29 soal yang sampai ke Gate 2/3, SEMUA berstatus 'pass' (0 block/fallback/warn). Artinya di run ini, ACIF context-integrity scoring TIDAK PERNAH jadi penyebab fallback - seluruh 19 fallback 'konteks tidak ditemukan' di atas murni keputusan LLM sendiri, bukan penolakan ACIF"
Jumlah fallback karena diblokir ACIF Gate 1 (bukan soal konteks),9,"chat_evaluation_logs.csv WHERE fallback_reason='input_rejected_by_gate1'",COUNT(*),Ini blokir di level INPUT (prompt injection) - terjadi SEBELUM retrieval/context sama sekali - jangan dicampur dengan 2 baris di atas
Jumlah fallback karena domain validation Gate 1 (di luar domain),3,"chat_evaluation_logs.csv WHERE fallback_reason='domain_validation_gate1'",COUNT(*),sama seperti di atas - blokir pra-retrieval
Jumlah fallback karena LLM menolak jawab (di luar domain),3,"chat_evaluation_logs.csv WHERE fallback_reason='llm_declined_out_of_domain'",COUNT(*),LLM sendiri menolak walau lolos Gate 1 - beda dari domain_validation_gate1
Jumlah fallback karena Gate 5 (output verification, confidence rendah),1,"chat_evaluation_logs.csv WHERE fallback_reason LIKE 'Low confidence%'",COUNT(*),1 soal (fallback_enforced) - klaim jawaban tidak lolos verifikasi akhir
