id,evaluation_run_id,question_id,trace_id,category,expected_behavior,precision_at_3,recall_at_3,citation_present,citation_correct,fallback_correct,answer_relevance_score,faithfulness_score,hallucination_detected,attack_success,total_latency_ms,retrieval_latency_ms,llm_latency_ms,notes,created_at,hit_rate_at_3,precision_at_5,recall_at_5,hit_rate_at_5,retrieval_relevance_score
8f845e09-1335-4aa9-b887-3634ea85b0e2,d0837437-8ca4-4cab-a954-03ba795623f7,Q001,ee9279d0-eafa-4d51-95f1-7a883d6324d6,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,7617,226,6033,,2026-07-25 13:43:00.807062+00,1,0.2,1,1,0.4600000000000001
80ca45fa-6c20-4185-9e9e-c162e8f3097c,d0837437-8ca4-4cab-a954-03ba795623f7,Q002,91f18d9a-ba38-4838-be51-474e8782eb9b,SPMB,answer,0,0,t,t,t,0.9,1,f,,42225,354,12187,,2026-07-25 13:43:00.807062+00,0,0,0,0,0.28
fba988f1-2b97-44d0-aeff-93166315ba87,d0837437-8ca4-4cab-a954-03ba795623f7,Q003,e7920384-7b64-4c32-8329-b66a36df443f,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,7835,229,6269,,2026-07-25 13:43:00.807062+00,1,0.2,1,1,0.2
84a4b4a7-b7ad-4d69-a163-10602ff47e00,d0837437-8ca4-4cab-a954-03ba795623f7,Q004,c2c88bb6-33c2-4711-b0c0-d9e9c8385c7d,SPMB,answer,0,0,t,f,t,0,0,t,,32786,7,8321,,2026-07-25 13:43:00.807062+00,0,0.2,1,1,0.27999999999999997
ee7fb9b7-f837-40dc-8831-8a8ba0aaebca,d0837437-8ca4-4cab-a954-03ba795623f7,Q005,43b88a31-a365-4e03-8b0d-f4aefe886054,SPMB,answer,0,0,t,t,t,1,1,f,,7614,112,6137,,2026-07-25 13:43:00.807062+00,0,0,0,0,0.4
979aef7c-50b8-400a-8ffb-ec2334c742f7,d0837437-8ca4-4cab-a954-03ba795623f7,Q006,726fb992-b4f0-4042-a01f-790b8bb24da5,SPMB,answer,0,0,f,f,f,,,,,6607,6,5486,,2026-07-25 13:43:00.807062+00,0,0,0,0,
b2de777e-e604-4cb6-a4e1-c3d394694cf7,d0837437-8ca4-4cab-a954-03ba795623f7,Q007,da28adc7-6326-4299-96f7-133f5653398d,SPMB,answer,0,0,t,t,t,1,1,f,,7739,7,6020,,2026-07-25 13:43:00.807062+00,0,0.2,1,1,0.54
efce929f-1e7c-4b16-9a4e-7453b6afafd8,d0837437-8ca4-4cab-a954-03ba795623f7,Q008,820249f5-129f-446c-a988-4da867aabeea,SPMB,answer,0,0,t,f,t,1,1,f,,7832,62,6437,,2026-07-25 13:43:00.807062+00,0,0,0,0,1
c7838a21-cb7f-4d90-9e54-7d28ba993fd3,d0837437-8ca4-4cab-a954-03ba795623f7,Q009,44f900cb-12aa-4d5f-b071-7033cc817b0a,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,8297,6,5300,,2026-07-25 13:43:00.807062+00,1,0.2,1,1,0.38
6c6bfd19-1aa0-4ce6-8875-8ce53d9274c8,d0837437-8ca4-4cab-a954-03ba795623f7,Q010,f7a7c973-5ea1-497e-a1c6-934dec5f7101,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,6612,10,5577,,2026-07-25 13:43:00.807062+00,1,0.2,1,1,0.38
