trace_id,final_answer,answer_status,fallback_triggered,fallback_reason,model_used
dc550c2f-ae3f-4b76-a9eb-0783eab3a2f3,"Berdasarkan informasi resmi yang tersedia, berikut adalah persyaratan tinggi badan untuk pendaftar Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Mandiri Reguler SMA untuk program studi Keperawatan dan Kebidanan di Poltekkes Kemenkes Yogyakarta Tahun Akademik 2026/2027:

*   **Program Studi Keperawatan:**
    *   Tinggi badan minimal **155 cm** bagi laki-laki.
    *   Tinggi badan minimal **150 cm** bagi perempuan.

*   **Program Studi Kebidanan:**
    *   Hanya menerima pendaftar perempuan.
    *   Tinggi badan minimal **150 cm**.

Perlu diperhatikan bahwa hasil pengukuran tinggi badan yang akan berlaku adalah hasil pengukuran yang dilakukan pada saat tahap uji kesehatan.

(Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027, Bagian B. Persyaratan SPMB Mandiri)",verified,f,,google/gemini-2.5-pro
46550f96-92ce-4396-8e44-97606a6c2d00,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,insufficient_context,t,llm_stated_not_in_sources,google/gemini-2.5-pro
f43430e6-335a-40d7-9aff-d05d7bf975f5,"Tentu, berikut adalah rincian mengenai komponen dan durasi Tes Potensi Skolastik dan Literasi pada SPMB Jalur Mandiri Reguler SMA.

Berdasarkan pedoman, materi ujian CBT (Computer Based Test) untuk SPMB Mandiri adalah Tes Potensi Skolastik dan Literasi yang berfokus pada kemampuan penalaran dan pemecahan masalah.

**Durasi dan Jumlah Soal**
*   **Total Alokasi Waktu:** 90 menit
*   **Total Jumlah Soal:** 70 butir

**Komponen Ujian**
Ujian ini terdiri dari dua komponen utama, yaitu:

1.  **Tes Potensi Skolastik**, yang mengukur:
    *   **Kemampuan Penalaran Umum**, mencakup:
        *   Penalaran Induktif
        *   Penalaran Deduktif
        *   Penalaran Kuantitatif
    *   **Pengetahuan dan Pemahaman Umum**
    *   **Kemampuan Memahami Bacaan**
    *   **Pengetahuan Kuantitatif**

2.  **Tes Literasi**, yang mengukur:
    *   **Literasi dalam Bahasa Indonesia**
    *   **Literasi dalam Bahasa Inggris**
    *   **Penalaran Matematika**

(Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027, Bagian F. Pelaksanaan CBT SPMB Mandiri)",verified,f,,google/gemini-2.5-pro
71105854-559d-4566-a5a6-c7d0d63727ac,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,insufficient_context,t,llm_stated_not_in_sources,google/gemini-2.5-pro
18774f39-0674-4598-aa99-029c310c8ce5,"Berdasarkan sumber resmi yang tersedia, calon mahasiswa baru Jalur SPMB Prestasi yang telah mendaftar ulang dan menyelesaikan proses administratif, kemudian mengundurkan diri, maka semua biaya yang telah dikeluarkan **tidak dapat ditarik kembali**.

Calon mahasiswa yang mengundurkan diri diwajibkan untuk membuat surat pernyataan pengunduran diri yang dibubuhi meterai.

(Sumber: PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027, Bagian P. Pengunduran Diri)",verified,f,,google/gemini-2.5-pro
8bf78604-b2a0-4a1c-937b-e14f542529fc,"Berdasarkan informasi resmi yang tersedia, program studi yang dibuka pada penerimaan mahasiswa baru Jalur Mandiri Program RPL (Rekognisi Pembelajaran Lampau) untuk Program Sarjana Terapan di Poltekkes Kemenkes Yogyakarta Tahun Akademik 2026/2027 adalah sebagai berikut:

*   Program Studi Teknologi Laboratorium Medis Program Sarjana Terapan
*   Program Studi Gizi dan Dietetika Program Sarjana Terapan
*   Program Studi Kebidanan Program Sarjana Terapan
*   Program Studi Terapi Gigi Program Sarjana Terapan
*   Program Studi Sanitasi Lingkungan Program Sarjana Terapan

(Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026, BAB II MEKANISME PENDAFTARAN, Bagian A)",verified,f,,google/gemini-2.5-pro
ebb8bf20-47cc-45c5-be79-e8d5c35df440,"Berdasarkan pedoman yang tersedia, berikut adalah proses penentuan kelulusan Tahap III dan Tahap IV pada Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Mandiri Program RPL:

*   **Tahap III**: Kelulusan pada tahap ini didasarkan pada hasil konversi nilai dan *assessment* berdasarkan kriteria penilaian yang telah ditetapkan.
*   **Tahap IV**: Kelulusan pada tahap ini didasarkan pada hasil tes kesehatan yang dilakukan oleh tim yang ditunjuk oleh Poltekkes Kemenkes Yogyakarta. Tes ini meliputi:
    *   Sehat fisik
    *   Psikologi
    *   Tidak menggunakan narkoba
    *   Tidak hamil (bagi perempuan)
    *   Biaya untuk uji kesehatan ini adalah **Rp 600.000,-**.

Penetapan kelulusan akhir akan diumumkan setelah peserta dinyatakan lulus semua tahap seleksi.

(Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026, Bagian H. Penentuan Kelulusan)",verified,f,,google/gemini-2.5-pro
1453c2b4-0d73-48ba-a10b-77376fd6a31a,"Berdasarkan informasi resmi yang tersedia, semua biaya daftar ulang yang telah dibayarkan atas nama Poltekkes Kemenkes Yogyakarta tidak dapat diambil kembali dengan alasan apapun jika calon mahasiswa baru mengundurkan diri.

Calon mahasiswa baru yang telah melakukan daftar ulang dan ingin mengundurkan diri wajib melapor kepada Panitia SPMB Poltekkes Kemenkes Yogyakarta Tahun Akademik 2026/2027 dengan membuat Surat Pernyataan Pengunduran Diri yang dibubuhi materai Rp 10.000,-.

(Sumber: HASIL SELEKSI TAHAP IV SPMB MANDIRI PRODI SARJANA TERAPAN (RPL) GELOMBANG 2 POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027, Bagian C; 3306 PENGUMUMAN HASIL SELEKSI TAHAP IV SPMB MANDIRI PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027, Bagian C)",verified,f,,google/gemini-2.5-pro
d6f147aa-b018-4d87-baec-b7da9f3f8f0f,"Berdasarkan pedoman resmi, seleksi SPMB Prestasi berdasarkan Prestasi Minat dan Bakat dilaksanakan melalui tiga tahapan. Peserta yang diterima sebagai calon mahasiswa baru adalah mereka yang berhasil lulus pada ketiga tahapan tersebut.

Tahapan seleksi tersebut adalah:
1.  **Tahap I**: Seleksi berdasarkan kelengkapan berkas administrasi sesuai persyaratan.
2.  **Tahap II**: Seleksi berdasarkan nilai kumulatif atau prestasi.
3.  **Tahap III**: Seleksi pemeriksaan kesehatan (bagi yang lulus seleksi tahap I dan II) dan Wawancara.

Prestasi Minat dan Bakat yang dimaksud meliputi:
*   Bahasa Inggris atau Bahasa lainnya
*   Hafidz/Hafidzah Al Quran
*   Olahraga atau Seni dan budaya
*   Prestasi unggulan lainnya

(Sumber: PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027)",verified,f,,google/gemini-2.5-pro
382e7b38-90fe-41ad-9ac3-2c4d563d9393,"Berdasarkan informasi resmi yang tersedia, berikut adalah persyaratan nilai rapor dan tinggi badan untuk Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Prestasi untuk Jurusan Kebidanan dan Keperawatan:

*   **Nilai Rapor**: Nilai rapor minimal adalah 70 untuk semua mata pelajaran, yang dihitung dari semester I hingga V.
*   **Tinggi Badan**:
    *   Laki-laki: minimal 155 cm.
    *   Perempuan: minimal 150 cm.

Persyaratan ini berlaku untuk Jurusan Kebidanan dan Keperawatan pada jalur SPMB Prestasi Kelas Reguler.

(Sumber: PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027)",verified,f,,google/gemini-2.5-pro
