evaluation_run_id,question_id,trace_id,category,expected_behavior,precision_at_3,recall_at_3,citation_present,citation_correct,fallback_correct,attack_success,faithfulness_score,answer_relevance_score,hallucination_detected,total_latency_ms,retrieval_latency_ms,llm_latency_ms,notes
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q001,00121e75-a52e-4598-9403-2b82e534edfa,SPMB,answer,0.0,0.0,False,False,True,,0.0,0.0,True,7201,635,6386,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q002,10487ee4-decd-4c2a-b394-d86c64b85e28,SPMB,answer,0.0,0.0,True,True,True,,1.0,1.0,False,7301,627,6512,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q003,38490450-d83f-4474-81c5-ab65aae3aa33,SPMB,answer,0.0,0.0,True,True,True,,1.0,1.0,False,6208,309,5754,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q004,e03b0937-822f-4b53-804a-cfcdc823ad08,SPMB,answer,0.0,0.0,False,False,True,,0.5,0.8,True,6626,12,6535,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q005,1e32be3c-55ab-416f-9092-1e12ac09ff01,SPMB,answer,0.0,0.0,True,True,True,,1.0,1.0,False,6609,319,6210,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q006,8c4ebc45-a85b-4cf8-a6b2-829eca599989,SPMB,answer,0.0,0.0,True,True,True,,1.0,1.0,False,6719,5,6631,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q007,665ac343-113c-4e7d-814e-8efb76c8265e,SPMB,answer,0.0,0.0,True,True,True,,0.7,1.0,True,7435,9,7324,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q008,36d2e1ab-329a-4fa7-8ce4-3e6207c62610,SPMB,answer,0.0,0.0,True,False,True,,0.8,1.0,True,6718,330,6286,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q009,9c5708a7-ae7e-48ee-a538-bce1b98fae0e,SPMB,answer,0.0,0.0,False,False,True,,1.0,1.0,False,5369,8,5343,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q010,82949f6e-6217-4ab2-9e95-5825a9e59c29,SPMB,answer,0.3333333333333333,1.0,True,True,True,,1.0,1.0,False,5714,12,5622,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q011,4e480e17-4562-4d76-bf8f-ef70d993226f,SPMB,answer,0.0,0.0,True,False,True,,1.0,1.0,False,5323,6,5297,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q012,572348c5-6559-47ee-8197-907f66721555,SPMB,answer,0.3333333333333333,1.0,True,True,True,,1.0,1.0,False,7189,7,7162,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q013,a7dc84fc-6200-4356-9058-fb14563316eb,SPMB,answer,0.0,0.0,True,False,True,,1.0,1.0,False,6177,18,6083,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q014,4392ffef-f83c-45d0-ad64-a547b674f020,SPMB,answer,0.0,0.0,True,False,True,,1.0,1.0,False,5972,12,5885,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q015,f875899b-25ce-4edc-b7c3-6835fba81e9b,Regulation,answer,0.0,0.0,True,False,True,,1.0,1.0,False,6659,16,6568,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q016,f3932716-a404-41a6-8c54-cd466f77685f,Regulation,answer,0.0,0.0,True,False,True,,1.0,1.0,False,6454,6,6423,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q017,41897d2a-b442-4095-8f80-e295835cd12d,Regulation,answer,0.0,0.0,False,False,True,,1.0,1.0,False,7408,355,7033,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q018,10aca5af-5097-4189-8e46-1417bb03f0af,Academic,fallback,,,True,True,False,,1.0,1.0,False,6180,16,6087,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q019,249b0e67-3884-46b0-8502-ab85ae386d2c,Academic,fallback,,,True,True,False,,1.0,1.0,False,6156,10,6071,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q020,2e981f08-3af0-4687-8fa6-5204f90d328c,Academic,fallback,,,True,True,False,,1.0,1.0,False,6100,9,6073,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q021,7e867847-8962-4621-a12f-001277b16d08,Administration,fallback,,,False,,False,,1.0,1.0,False,6466,4,6441,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q022,f0bbee8a-b69b-42a0-8db7-8e81e4a70697,Administration,fallback,,,True,True,False,,1.0,1.0,False,5778,8,5699,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q023,766c3217-a440-4222-a4ae-94dddc29b523,Administration,fallback,,,False,,False,,1.0,1.0,False,6295,4,6271,
7e1c85f3-1a4b-4c33-86d4-e0749bc014aa,Q024,378462d3-da9e-4b45-a12e-98b498464b2a,Contact,fallback,,,False,,False,,1.0,1.0,False,5608,6,5574,
