evaluation_run_id,question_id,trace_id,category,expected_behavior,precision_at_3,recall_at_3,hit_rate_at_3,citation_present,citation_correct,fallback_correct,attack_success,faithfulness_score,answer_relevance_score,hallucination_detected,total_latency_ms,retrieval_latency_ms,llm_latency_ms,notes
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q001,db7f4ecc-8033-4210-997f-4a701b68cbf2,SPMB,answer,0.0,0.0,0.0,True,True,True,,,,,6205,334,5778,
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q002,5453a33f-4ff8-4b9c-a3fe-bed434e71c4f,SPMB,answer,0.0,0.0,0.0,True,False,True,,,,,6959,271,6556,
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q003,d75b1f17-da6a-4a3c-b7b5-f22f80792ba9,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,,,,6292,330,5876,
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q004,19591477-27a9-4b94-80a1-4a4ed769e8c8,SPMB,answer,0.0,0.0,0.0,True,False,True,,,,,5398,5,5334,
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q005,3481646f-235e-44bc-9d37-f74d45bc0a52,SPMB,answer,0.0,0.0,0.0,True,True,True,,,,,4592,153,4381,
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q006,0b4be29c-a82d-4470-8724-9984cd62ac96,SPMB,answer,0.0,0.0,0.0,True,False,True,,,,,5307,4,5245,
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q007,f8b66535-205f-4a90-82cc-385418123fc2,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,,,,5668,5,5605,
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q008,7ba8df2f-d7fd-421d-a990-e6d6674da796,SPMB,answer,0.0,0.0,0.0,True,False,True,,,,,5665,129,5479,
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q009,09b2682a-131f-4083-8e84-829956df70f9,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,,,,3995,5,3979,
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q010,17008f1e-9d51-4365-aa9d-8d5d1fc9782c,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,,,,5338,7,5271,
0b26f6f5-11b3-427a-84ef-6ae1541bf61b,Q011,7b51e08d-cb01-4247-aaa9-e030a284feec,SPMB,answer,0.0,0.0,0.0,False,False,True,,,,,5093,4,5079,
