trace_id,final_answer,answer_status,fallback_triggered,fallback_reason,model_used
d9915868-aa81-4b5d-840e-d874ebb661f1,"Asisten virtual ini hanya melayani informasi resmi kampus Poltekkes Kemenkes Yogyakarta, seperti SPMB, layanan akademik, dan layanan administrasi. Saya tidak dapat menjawab pertanyaan di luar cakupan tersebut.",out_of_domain,t,domain_validation_gate1,
b2c507b1-f1c0-45e6-a1d3-2c0bab90a3cc,"Asisten virtual ini hanya melayani informasi resmi kampus Poltekkes Kemenkes Yogyakarta, seperti SPMB, layanan akademik, dan layanan administrasi. Saya tidak dapat menjawab pertanyaan di luar cakupan tersebut.",out_of_domain,t,domain_validation_gate1,
4ad9bd5a-ba15-496e-b147-dd12cb2d21b7,Permintaan Anda tidak dapat diproses. Silakan coba ajukan pertanyaan dengan kalimat yang berbeda.,rejected_by_input_filter,t,input_rejected_by_gate1,
c0eb6820-5bf2-4221-a1a8-131674fdfdcf,"Mohon maaf, saya adalah asisten virtual kampus Poltekkes Kemenkes Yogyakarta yang bertugas memberikan informasi seputar Seleksi Penerimaan Mahasiswa Baru (SPMB) berdasarkan dokumen yang tersedia.

Saya tidak memiliki kualifikasi medis untuk memberikan saran pengobatan. Untuk keluhan demam dan batuk yang Anda alami, sangat disarankan untuk berkonsultasi langsung dengan dokter atau tenaga kesehatan profesional di fasilitas kesehatan terdekat agar mendapatkan diagnosis dan penanganan yang tepat.",answered,f,,google/gemini-2.5-pro
365755e5-469c-4d51-8741-c3edb717ca7d,"Berdasarkan pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027, berikut adalah syarat tinggi badan untuk program studi Keperawatan dan Kebidanan:

1.  **Prodi Keperawatan:**
    *   Laki-laki: minimal **155 cm**
    *   Perempuan: minimal **150 cm**

2.  **Prodi Kebidanan:**
    *   Hanya menerima pendaftar perempuan dengan tinggi badan minimal **150 cm**.

Perlu dicatat bahwa hasil pengukuran tinggi badan yang berlaku adalah hasil pengukuran pada saat tahap uji kesehatan.",answered,f,,google/gemini-2.5-pro
a691b54d-9d08-42e9-8c22-58dcd8ea891e,"Berdasarkan informasi yang tersedia, berikut adalah mekanisme pendaftaran SPMB Jalur Mandiri Reguler SMA di Poltekkes Kemenkes Yogyakarta:

**Mekanisme Pendaftaran:**
Meskipun detail langkah-langkah pendaftaran awal tidak dijelaskan secara rinci dalam dokumen yang tersedia, proses pendaftaran untuk peserta yang dinyatakan **LULUS UTAMA** (setelah seleksi tahap I) adalah sebagai berikut:

1.  **Registrasi Online:** Peserta yang LULUS UTAMA wajib melakukan registrasi di sistem pendaftaran SPMB melalui laman **https://spmb.poltekkesjogja.ac.id** pada tanggal **23-24 Juni 2026**.
2.  **Pengisian Data dan Unggah Dokumen:** Selama registrasi, peserta harus mengisi data dan mengunggah dokumen yang diperlukan, yaitu:
    *   Scan pas foto dengan latar belakang putih.
    *   Scan KTP.
    *   Scan Ijazah atau Surat Keterangan Lulus (SKL).
3.  **Mendapatkan Virtual Account (VA):** Setelah melengkapi data, peserta akan mendapatkan tagihan Virtual Account (VA) untuk pembayaran biaya uji kesehatan.
4.  **Pendaftaran Uji Kesehatan (Tahap II):** Peserta yang berdomisili di Jawa wajib mendaftar untuk uji kesehatan melalui tautan **https://bit.ly/PendaftaranUjiKesehatanPoltekkesKemenkesYogyakartaTahun2026** paling lambat tanggal **24 Juni 2026 pukul 18.00 WIB**.

**Biaya Pendaftaran:**
Dokumen yang tersedia **tidak menyebutkan biaya pendaftaran awal** untuk SPMB Jalur Mandiri. Namun, dokumen tersebut menyebutkan biaya untuk tahap selanjutnya, yaitu:

*   **Biaya Uji Kesehatan:** Sebesar **Rp 100.000,-**. Biaya ini wajib dibayarkan oleh peserta yang lulus seleksi tahap I untuk dapat mengikuti seleksi tahap II.",answered,f,,google/gemini-2.5-pro
c61318f9-fc08-489e-acb1-d2decc391501,"Berdasarkan pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027, berikut adalah komponen dan durasi Tes Potensi Skolastik dan Literasi:

**Durasi:**
Total alokasi waktu pengerjaan soal adalah **90 menit**.

**Komponen Tes:**

1.  **Tes Potensi Skolastik (TPS)**, yang mengukur:
    *   Kemampuan Penalaran Umum (Penalaran Induktif, Deduktif, dan Kuantitatif)
    *   Pengetahuan dan Pemahaman Umum
    *   Kemampuan Memahami Bacaan
    *   Pengetahuan Kuantitatif

2.  **Tes Literasi**, yang mengukur:
    *   Literasi dalam Bahasa Indonesia
    *   Literasi dalam Bahasa Inggris
    *   Penalaran Matematika",answered,f,,google/gemini-2.5-pro
f1e99cfa-c112-4871-a779-4106e5b8518b,"Berdasarkan informasi yang diberikan, berikut adalah dokumen yang perlu disiapkan dan diunggah secara online saat daftar ulang mahasiswa baru jalur SPMB Mandiri Reguler SMA:

1.  **Biodata Mahasiswa Baru** (diisi secara online).
2.  **Scan asli Ijazah** atau **scan asli Surat Keterangan Lulus (SKL)**.
3.  **Scan asli Surat Pernyataan** sebagai calon mahasiswa baru Poltekkes Kemenkes Yogyakarta.
4.  **Scan asli Kartu Tanda Penduduk (KTP)** atau **Kartu Keluarga (KK)**.
5.  **Scan asli Jaminan Kesehatan Nasional (JKN)**, seperti BPJS Kesehatan.
6.  **Bukti pembayaran daftar ulang** yang meliputi:
    *   Uang Kuliah Tunggal (UKT)
    *   Seragam
    *   Asrama
7.  **File foto berwarna terbaru ukuran 4x6 cm** dengan latar belakang (background) putih.

Semua berkas tersebut diunggah secara online melalui laman `https://spmb.poltekkesjogja.ac.id/` pada menu **Registrasi Mahasiswa Baru**.",answered,f,,google/gemini-2.5-pro
e0796120-ae32-4451-8780-eeda9e918e64,"Berdasarkan informasi dari Pedoman SPMB Mandiri Reguler SMA dan Surat Pernyataan yang harus dibuat oleh pendaftar, disebutkan dengan jelas bahwa **semua biaya yang telah dikeluarkan tidak dapat ditarik kembali**.

Hal ini juga dipertegas pada bagian ""Pengunduran Diri"" yang menyatakan bahwa calon mahasiswa baru yang telah mendaftar ulang dan kemudian mengundurkan diri, semua biaya yang telah dikeluarkan tidak dapat ditarik kembali.",answered,f,,google/gemini-2.5-pro
56e6c6b7-7df6-4747-8645-0eeff3e1f28e,"Berdasarkan informasi dari Pedoman SPMB Jalur Mandiri STR RPL 2026, program studi Sarjana Terapan yang bisa dituju melalui jalur RPL (Rekognisi Pembelajaran Lampau) adalah:

1.  Program Studi Teknologi Laboratorium Medis Program Sarjana Terapan
2.  Program Studi Gizi dan Dietetika Program Sarjana Terapan
3.  Program Studi Kebidanan Program Sarjana Terapan
4.  Program Studi Terapi Gigi Program Sarjana Terapan
5.  Program Studi Sanitasi Lingkungan Program Sarjana Terapan",answered,f,,google/gemini-2.5-pro
