No,Question_ID,Kategori,Pertanyaan,Jawaban_Sistem,Jawaban_Rujukan,Answer_Status,Relevance_0_4,Faithfulness_0_4,Completeness_0_4,FPR_Priority_Review,Catatan_Evaluator
1,Q001,SPMB,Apa saja syarat tinggi badan untuk pendaftar SPMB Jalur Mandiri Reguler SMA program studi Keperawatan dan Kebidanan?,"Berdasarkan informasi yang tersedia, persyaratan tinggi badan untuk pendaftar SPMB Jalur Mandiri Reguler SMA adalah sebagai berikut:

*   **Kelas Internasional:**
    *   Perempuan: minimal **155 cm**
    *   Laki-laki: minimal **160 cm**

(Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027)

Informasi mengenai persyaratan tinggi badan spesifik untuk program studi Keperawatan dan Kebidanan pada jalur Mandiri Reguler SMA (non-Kelas Internasional) tidak tersedia dalam sumber resmi yang kami muat saat ini.",Prodi Keperawatan minimal 155 cm bagi laki-laki dan 150 cm bagi perempuan; Prodi Kebidanan hanya menerima peserta perempuan dengan ketentuan tinggi badan tertentu.,verified,,,,,
2,Q002,SPMB,Bagaimana mekanisme pendaftaran SPMB Jalur Mandiri Reguler SMA dan berapa biaya pendaftarannya?,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,"Pendaftar memilih 1 program studi, mendaftar online melalui www.spmb.poltekkesjogja.ac.id, biaya pendaftaran Rp 300.000 bagi WNI dan Rp 900.000 bagi WNA.",insufficient_context,,,,Ya - cek apakah fallback ini seharusnya bisa dijawab,
3,Q003,SPMB,Apa saja komponen dan durasi Tes Potensi Skolastik dan Literasi pada SPMB Jalur Mandiri Reguler SMA?,"Berdasarkan informasi yang tersedia, berikut adalah rincian mengenai komponen dan durasi Tes Potensi Skolastik dan Literasi pada Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Mandiri Reguler SMA di Poltekkes Kemenkes Yogyakarta.

Materi ujian CBT untuk jalur ini adalah **Tes Potensi Skolastik dan Literasi** yang berfokus pada kemampuan penalaran dan pemecahan masalah calon mahasiswa.

**Durasi dan Jumlah Soal:**
*   **Alokasi Waktu Pengerjaan:** 90 menit
*   **Jumlah Soal:** 70 butir soal

**Komponen Tes:**
Tes Potensi Skolastik dan Literasi ini mengukur beberapa komponen sebagai berikut:
*   **Tes Potensi Skolastik**, yang mencakup:
    *   **Kemampuan Penalaran Umum**, terdiri dari:
        *   Penalaran Induktif
        *   Penalaran Deduktif
        *   Penalaran Kuantitatif
    *   **Pengetahuan dan Pemahaman Umum**
    *   **Kemampuan Memahami Bacaan**

**Informasi Tambahan:**
*   **Lokasi Ujian:** Ujian CBT SPMB Mandiri dilaksanakan di Gedung G Lantai 5 Poltekkes Kemenkes Yogyakarta.
*   **Sesi Ujian:** Terdapat tiga sesi pengerjaan soal yang tersedia setiap hari, yaitu:
    *   **Sesi I:** 08.00 – 09.30 WIB atau 09.00 – 10.30 WITA atau 10.00 – 11.30 WIT
    *   **Sesi II:** 10.30 – 12.00 WIB atau 11.30 – 13.00 WITA atau 12.30 -14.00 WIT
    *   **Sesi III:** 13.30 – 15.00 WIB atau 14.30 - 16.00 WITA atau 15.30 -17.00 WIT

(Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027)","Tes Potensi Skolastik berjumlah 70 butir soal dengan waktu 90 menit, mengukur kemampuan penalaran umum (induktif, deduktif, kuantitatif) dan pengetahuan umum.",verified,,,,,
4,Q004,SPMB,Dokumen apa saja yang perlu disiapkan saat daftar ulang mahasiswa baru jalur mandiri reguler SMA?,"Berdasarkan informasi yang tersedia, berikut adalah berkas daftar ulang yang harus disiapkan untuk mahasiswa baru:

*   **Biodata mahasiswa baru**
*   **Scan ijazah/transkrip**
*   **Scan surat pernyataan calon mahasiswa baru Poltekkes Kemenkes Yogyakarta**
*   **Scan KTP**
*   **Scan Kartu Keluarga**
*   **Scan JKN**
*   **Bukti pembayaran Uang Kuliah Tunggal** (Lampiran 1, 2, 3)
*   **2 lembar pasfoto terbaru ukuran 3x4** dengan ketentuan:
    *   Latar belakang biru untuk program D III
    *   Latar belakang merah untuk program Sarjana Terapan

(Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026)","Bukti pembayaran daftar ulang UKT, seragam dan asrama, serta pas foto berwarna ukuran 4x6 cm background putih.",verified,,,,,
5,Q005,SPMB,Apakah biaya yang sudah dikeluarkan pendaftar SPMB Mandiri Reguler SMA dapat ditarik kembali?,"Berdasarkan Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027, semua biaya yang telah dikeluarkan tidak dapat ditarik kembali.

Hal ini tercantum dalam poin ke-8 surat pernyataan yang harus dibuat oleh calon mahasiswa, yang berbunyi: ""**Semua biaya yang telah dikeluarkan tidak dapat ditarik kembali**"". Ini berarti bahwa biaya yang sudah dibayarkan dalam proses pendaftaran tidak dapat diminta kembali.

(Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027)","Tidak, semua biaya yang telah dikeluarkan tidak dapat ditarik kembali.",verified,,,,,
6,Q006,SPMB,Program studi apa saja yang bisa dituju melalui jalur RPL (Rekognisi Pembelajaran Lampau) Sarjana Terapan?,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,Antara lain Program Studi Teknologi Laboratorium Medis (dari latar belakang Diploma III Analis Kesehatan) dan Program Studi Gizi.,insufficient_context,,,,Ya - cek apakah fallback ini seharusnya bisa dijawab,
7,Q007,SPMB,Bagaimana proses penentuan kelulusan Tahap III dan Tahap IV pada SPMB Jalur Mandiri RPL?,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,Tahap III: kelulusan berdasarkan hasil konversi nilai dan assessment berdasarkan kriteria penilaian; Tahap IV: kelulusan berdasarkan tahap lanjutan sesuai ketentuan pedoman.,insufficient_context,,,,Ya - cek apakah fallback ini seharusnya bisa dijawab,
8,Q008,SPMB,Apakah biaya daftar ulang SPMB Jalur Mandiri RPL dapat diambil kembali jika calon mahasiswa mengundurkan diri?,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,"Tidak, biaya daftar ulang yang telah dibayarkan atas nama Poltekkes Kemenkes Yogyakarta tidak dapat diambil kembali dengan alasan apapun.",insufficient_context,,,,Ya - cek apakah fallback ini seharusnya bisa dijawab,
9,Q009,SPMB,Berapa tahapan seleksi SPMB Prestasi berdasarkan Prestasi Minat dan Bakat?,Saya tidak menemukan informasi ini dalam sumber resmi yang dimuat. Silakan merujuk ke saluran informasi resmi Poltekkes Kemenkes Yogyakarta atau hubungi unit terkait.,SPMB Prestasi berdasarkan Prestasi Minat dan Bakat dilaksanakan melalui tiga tahapan seleksi.,fallback_enforced,,,,Ya - cek apakah fallback ini seharusnya bisa dijawab,
10,Q010,SPMB,Apa syarat nilai rapor dan tinggi badan untuk SPMB Prestasi jurusan Kebidanan dan Keperawatan?,"Berdasarkan informasi resmi yang tersedia, berikut adalah persyaratan nilai rapor dan tinggi badan untuk Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Prestasi untuk jurusan Kebidanan dan Keperawatan:

*   **Nilai Rapor**: Calon pendaftar harus memiliki nilai rapor minimal 70 untuk semua mata pelajaran, yang dihitung dari semester I hingga V.
*   **Tinggi Badan**: Persyaratan tinggi badan minimal untuk jurusan Kebidanan dan Keperawatan adalah:
    *   Laki-laki: 155 cm
    *   Perempuan: 150 cm

Sebagai informasi tambahan, untuk jurusan selain Kebidanan dan Keperawatan, syarat tinggi badan minimal adalah 145 cm.

(Sumber: PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027)","Nilai rapor minimal 70 untuk semua mata pelajaran (semester I sampai V), tinggi badan minimal 155 cm bagi laki-laki dan 150 cm bagi perempuan.",verified,,,,,
