trace_id,gate_number,gate_name,gate_status,risk_score,risk_level,action_taken,risk_flags,public_summary,admin_summary,latency_ms,created_at
0052852a-c837-4bec-b42c-601628891c45,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-12 06:32:24.319648+00
0052852a-c837-4bec-b42c-601628891c45,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 10 of 10 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 10 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,1,2026-07-12 06:32:24.319648+00
0052852a-c837-4bec-b42c-601628891c45,3,Gate 3 - Graph-Document Consistency Check,pass,,low,10 of 10 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"10 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-12 06:32:24.319648+00
0052852a-c837-4bec-b42c-601628891c45,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 2556. Sources used: 5.,0,2026-07-12 06:32:24.319648+00
0052852a-c837-4bec-b42c-601628891c45,5,Gate 5 - Output Claim Verification,pass,0.05,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,0/0 klaim didukung sumber (confidence 95%).,0,2026-07-12 06:32:24.319648+00
01aafcf5-42af-4f08-ad2c-30ee99f38cc2,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-12 06:36:55.670411+00
01aafcf5-42af-4f08-ad2c-30ee99f38cc2,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 8 of 8 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 8 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,1,2026-07-12 06:36:55.670411+00
01aafcf5-42af-4f08-ad2c-30ee99f38cc2,3,Gate 3 - Graph-Document Consistency Check,pass,,low,8 of 8 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"8 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-12 06:36:55.670411+00
01aafcf5-42af-4f08-ad2c-30ee99f38cc2,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 2581. Sources used: 5.,0,2026-07-12 06:36:55.670411+00
01aafcf5-42af-4f08-ad2c-30ee99f38cc2,5,Gate 5 - Output Claim Verification,pass,0,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,2/2 klaim didukung sumber (confidence 100%).,1195,2026-07-12 06:36:55.670411+00
02eaaf86-a7b2-4e0a-954a-e7a63c97ca20,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-12 08:10:05.565131+00
02eaaf86-a7b2-4e0a-954a-e7a63c97ca20,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 8 of 8 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 8 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,1,2026-07-12 08:10:05.565131+00
02eaaf86-a7b2-4e0a-954a-e7a63c97ca20,3,Gate 3 - Graph-Document Consistency Check,pass,,low,8 of 8 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"8 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-12 08:10:05.565131+00
02eaaf86-a7b2-4e0a-954a-e7a63c97ca20,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 2795. Sources used: 5.,0,2026-07-12 08:10:05.565131+00
02eaaf86-a7b2-4e0a-954a-e7a63c97ca20,5,Gate 5 - Output Claim Verification,pass,0,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,3/3 klaim didukung sumber (confidence 100%).,1258,2026-07-12 08:10:05.565131+00
047ab9ab-6fbe-4d07-ac7a-fb72b298d7df,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-12 07:52:16.557696+00
047ab9ab-6fbe-4d07-ac7a-fb72b298d7df,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 8 of 8 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 8 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,1,2026-07-12 07:52:16.557696+00
047ab9ab-6fbe-4d07-ac7a-fb72b298d7df,3,Gate 3 - Graph-Document Consistency Check,pass,,low,8 of 8 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"8 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-12 07:52:16.557696+00
047ab9ab-6fbe-4d07-ac7a-fb72b298d7df,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 1548. Sources used: 5.,0,2026-07-12 07:52:16.557696+00
047ab9ab-6fbe-4d07-ac7a-fb72b298d7df,5,Gate 5 - Output Claim Verification,pass,0.05,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,0/0 klaim didukung sumber (confidence 95%).,0,2026-07-12 07:52:16.557696+00
04a40915-55ff-4cc5-addd-6dcff20c3d08,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-12 09:00:55.245846+00
04a40915-55ff-4cc5-addd-6dcff20c3d08,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 8 of 8 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 8 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,2,2026-07-12 09:00:55.245846+00
04a40915-55ff-4cc5-addd-6dcff20c3d08,3,Gate 3 - Graph-Document Consistency Check,pass,,low,8 of 8 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"8 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-12 09:00:55.245846+00
04a40915-55ff-4cc5-addd-6dcff20c3d08,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 3148. Sources used: 5.,0,2026-07-12 09:00:55.245846+00
04a40915-55ff-4cc5-addd-6dcff20c3d08,5,Gate 5 - Output Claim Verification,pass,0,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,4/4 klaim didukung sumber (confidence 100%).,1812,2026-07-12 09:00:55.245846+00
07ccc195-c185-48e0-b411-636a00892282,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-12 01:36:20.620968+00
07ccc195-c185-48e0-b411-636a00892282,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 10 of 10 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 10 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,2,2026-07-12 01:36:20.620968+00
07ccc195-c185-48e0-b411-636a00892282,3,Gate 3 - Graph-Document Consistency Check,pass,,low,10 of 10 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"10 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-12 01:36:20.620968+00
07ccc195-c185-48e0-b411-636a00892282,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 2679. Sources used: 5.,0,2026-07-12 01:36:20.620968+00
07ccc195-c185-48e0-b411-636a00892282,5,Gate 5 - Output Claim Verification,pass,0,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,3/3 klaim didukung sumber (confidence 100%).,1330,2026-07-12 01:36:20.620968+00
08217759-17fc-45a2-8804-1735bc9442d4,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-12 07:12:52.85669+00
08217759-17fc-45a2-8804-1735bc9442d4,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 8 of 8 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 8 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,1,2026-07-12 07:12:52.85669+00
08217759-17fc-45a2-8804-1735bc9442d4,3,Gate 3 - Graph-Document Consistency Check,pass,,low,8 of 8 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"8 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-12 07:12:52.85669+00
08217759-17fc-45a2-8804-1735bc9442d4,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 1561. Sources used: 5.,0,2026-07-12 07:12:52.85669+00
08217759-17fc-45a2-8804-1735bc9442d4,5,Gate 5 - Output Claim Verification,pass,0.05,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,0/0 klaim didukung sumber (confidence 95%).,0,2026-07-12 07:12:52.85669+00
0a4dff64-d352-43c8-88d0-1f400a2fd11a,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-12 08:10:20.380078+00
0a4dff64-d352-43c8-88d0-1f400a2fd11a,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 5 of 5 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 5 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,1,2026-07-12 08:10:20.380078+00
0a4dff64-d352-43c8-88d0-1f400a2fd11a,3,Gate 3 - Graph-Document Consistency Check,pass,,low,5 of 5 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"5 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",8,2026-07-12 08:10:20.380078+00
0a4dff64-d352-43c8-88d0-1f400a2fd11a,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 2767. Sources used: 5.,0,2026-07-12 08:10:20.380078+00
0a4dff64-d352-43c8-88d0-1f400a2fd11a,5,Gate 5 - Output Claim Verification,pass,0.05,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,0/0 klaim didukung sumber (confidence 95%).,0,2026-07-12 08:10:20.380078+00
0a692e80-0ba4-4bb9-9311-87c228cb2871,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-12 03:46:36.019553+00
0a692e80-0ba4-4bb9-9311-87c228cb2871,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 10 of 10 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 10 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,2,2026-07-12 03:46:36.019553+00
0a692e80-0ba4-4bb9-9311-87c228cb2871,3,Gate 3 - Graph-Document Consistency Check,pass,,low,10 of 10 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"10 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",5,2026-07-12 03:46:36.019553+00
0a692e80-0ba4-4bb9-9311-87c228cb2871,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 2886. Sources used: 5.,0,2026-07-12 03:46:36.019553+00
0a692e80-0ba4-4bb9-9311-87c228cb2871,5,Gate 5 - Output Claim Verification,fallback,1,high,Low confidence: 0.0%,"{""unsupported_claims"": 1, ""unsupported_claim_texts"": [""*   **SPMB Jalur Mandiri STR RPL**: Jalur seleksi ini merupakan jalur mandiri untuk Sarjana Terapan (STR) melalui Rekognisi Pembelajaran Lampau (RPL)""], ""regenerated"": false}",Jawaban tidak dapat diverifikasi sepenuhnya sehingga digantikan dengan pesan aman.,0/1 klaim didukung sumber (confidence 0%).,925,2026-07-12 03:46:36.019553+00
0a7020fd-cf4b-4292-92f7-e3ba967ac31f,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-12 03:49:23.063297+00
