r0x,scenario,asq_1,asq_2,asq_3,average_score,total_latency_ms,answer_status,task_success,n_citations,n_valid_citations,has_correct_citation,completion_time_s,completion_time_valid,completion_time_outlier,completion_time_clean
R01,S1,7,7,7,7.0,8271.0,verified,1.0,4,4,True,8.799037,True,False,True
R01,S2,7,7,7,7.0,10347.0,verified,1.0,4,4,True,54.778502,True,False,True
R02,S1,5,5,6,5.333333333333333,20389.0,verified,1.0,5,5,True,65.620526,True,False,True
R02,S2,5,5,6,5.333333333333333,6532.0,verified,1.0,4,4,True,239.23709,True,False,True
R03,S1,7,7,7,7.0,12237.0,verified,1.0,2,2,True,302.655777,True,False,True
R03,S2,5,5,5,5.0,6574.0,verified,1.0,2,2,True,393.310365,True,False,True
R04,S1,4,4,4,4.0,5079.0,out_of_domain,0.0,0,0,False,118.471904,True,False,True
R04,S2,4,4,4,4.0,5146.0,out_of_domain,0.0,2,2,True,90.519215,True,False,True
R05,S1,7,7,5,6.333333333333333,36402.0,fallback_enforced,0.0,0,0,False,71.262827,True,False,True
R05,S2,7,7,7,7.0,5091.0,out_of_domain,0.0,2,2,True,126.195462,True,False,True
R06,S1,7,7,7,7.0,,,,0,0,False,-15.005399,False,False,False
R06,S2,7,7,7,7.0,4239.0,out_of_domain,0.0,0,0,False,29.319702,True,False,True
R07,S1,4,4,4,4.0,4663.0,insufficient_context,0.0,0,0,False,357.883766,True,False,True
R07,S2,4,4,4,4.0,9979.0,verified,1.0,1,1,True,168.771147,True,False,True
R08,S1,7,7,6,6.666666666666667,4877.0,out_of_domain,0.0,3,3,True,1755.758875,True,False,True
R08,S2,6,7,7,6.666666666666667,6553.0,verified,1.0,2,2,True,417.868678,True,False,True
R09,S1,7,7,7,7.0,4314.0,out_of_domain,0.0,5,5,True,143.08891,True,False,True
R09,S2,7,7,7,7.0,4908.0,out_of_domain,0.0,2,2,True,181.806997,True,False,True
R10,S1,7,7,7,7.0,4819.0,insufficient_context,0.0,0,0,False,1912.216456,True,False,True
R10,S2,7,7,7,7.0,4427.0,insufficient_context,0.0,1,1,True,212.976991,True,False,True
R11,S1,6,7,5,6.0,4512.0,insufficient_context,0.0,3,3,True,399.297349,True,False,True
R11,S2,7,6,6,6.333333333333333,4508.0,insufficient_context,0.0,0,0,False,316.58634,True,False,True
R12,S1,3,4,4,3.6666666666666665,59.0,needs_clarification,0.0,0,0,False,40.466469000000004,True,False,True
R12,S2,4,4,4,4.0,4285.0,out_of_domain,0.0,0,0,False,73.195187,True,False,True
R13,S1,2,3,2,2.333333333333333,4635.0,insufficient_context,0.0,3,3,True,90.026572,True,False,True
R13,S2,6,7,6,6.333333333333333,5210.0,insufficient_context,0.0,0,0,False,75.376473,True,False,True
R14,S1,4,4,4,4.0,8732.0,verified,1.0,2,2,True,337.893801,True,False,True
R14,S2,4,4,4,4.0,4701.0,out_of_domain,0.0,0,0,False,149.683394,True,False,True
R15,S1,6,6,6,6.0,11207.0,verified,1.0,3,3,True,147.678419,True,False,True
R15,S2,6,6,6,6.0,4410.0,out_of_domain,0.0,0,0,False,87.386274,True,False,True
R16,S1,7,7,7,7.0,8248.0,verified,1.0,3,3,True,330.355881,True,False,True
R17,S1,7,7,7,7.0,10513.0,verified,1.0,2,2,True,15469.87297,True,True,False
R17,S2,7,7,7,7.0,14127.0,verified,1.0,4,4,True,397.742421,True,False,True
R18,S1,7,7,7,7.0,8928.0,fallback_enforced,0.0,0,0,False,1092.119425,True,False,True
R18,S2,4,4,4,4.0,4664.0,out_of_domain,0.0,0,0,False,166.951117,True,False,True
R19,S1,6,6,7,6.333333333333333,6435.0,verified,1.0,1,1,True,244.596288,True,False,True
R19,S2,4,7,5,5.333333333333333,12357.0,verified,1.0,1,1,True,292.044386,True,False,True
R20,S1,4,4,4,4.0,22529.0,verified,1.0,4,4,True,10.748128,True,False,True
R20,S2,4,4,4,4.0,22529.0,verified,1.0,4,4,True,108.84884,True,False,True
R21,S1,6,6,5,5.666666666666667,5738.0,out_of_domain,0.0,0,0,False,6.478247,True,False,True
R21,S2,7,7,5,6.333333333333333,5591.0,out_of_domain,0.0,1,1,True,60.753484,True,False,True
R22,S1,7,7,7,7.0,15.0,needs_clarification,0.0,0,0,False,273672.906367,True,True,False
R22,S2,7,7,7,7.0,38984.0,verified,1.0,5,5,True,13.345913,True,False,True
