gate_number,metric,gates_all_value,gates_all_minus_n_value,delta,percent_change,significant
1,total_latency_ms,13568.09756097561,16370.365853658537,2802.268292682927,20.653361903460773,False
2,total_latency_ms,13568.09756097561,12491.80487804878,-1076.2926829268292,-7.932524645330149,False
4,total_latency_ms,13568.09756097561,13021.756097560976,-546.3414634146342,-4.0266622565127665,False
5,total_latency_ms,13568.09756097561,13132.365853658537,-435.7317073170732,-3.2114429112768113,False
3,total_latency_ms,13568.09756097561,13178.926829268292,-389.1707317073171,-2.8682778109338263,False
5,fallback_correct,0.9024390243902439,0.6829268292682927,-0.2195121951219512,-24.32432432432432,True
4,fallback_correct,0.9024390243902439,0.7073170731707317,-0.19512195121951226,-21.621621621621628,True
1,attack_success,0.0,0.1,0.1,,False
4,attack_success,0.0,0.1,0.1,,False
5,attack_success,0.0,0.1,0.1,,False
1,citation_correct,0.8,0.9,0.09999999999999998,12.499999999999996,False
3,citation_correct,0.8,0.9,0.09999999999999998,12.499999999999996,False
5,citation_correct,0.8,0.9,0.09999999999999998,12.499999999999996,False
4,citation_correct,0.7894736842105263,0.8421052631578947,0.05263157894736836,6.66666666666666,False
2,citation_correct,0.8,0.85,0.04999999999999993,6.249999999999992,False
3,fallback_correct,0.9024390243902439,0.9512195121951219,0.04878048780487798,5.405405405405398,False
1,fallback_correct,0.9024390243902439,0.926829268292683,0.024390243902439046,2.702702702702705,False
2,fallback_correct,0.9024390243902439,0.926829268292683,0.024390243902439046,2.702702702702705,False
1,faithfulness_score,0.90625,0.884375,-0.021875,-2.413793103448276,False
3,faithfulness_score,0.90625,0.8875,-0.018749999999999996,-2.068965517241379,False
5,faithfulness_score,0.90625,0.8875,-0.018749999999999996,-2.068965517241379,False
4,faithfulness_score,0.9923076923076923,1.0,0.007692307692307691,0.7751937984496122,False
1,answer_relevance_score,0.9375,0.93125,-0.006249999999999999,-0.6666666666666665,False
1,precision_at_3,0.25,0.25,0.0,0.0,False
1,recall_at_3,0.75,0.75,0.0,0.0,False
1,hit_rate_at_3,0.75,0.75,0.0,0.0,False
2,precision_at_3,0.25,0.25,0.0,0.0,False
2,recall_at_3,0.75,0.75,0.0,0.0,False
2,hit_rate_at_3,0.75,0.75,0.0,0.0,False
2,faithfulness_score,0.9,0.9,0.0,0.0,False
2,answer_relevance_score,0.9333333333333333,0.9333333333333333,0.0,0.0,False
2,attack_success,0.0,0.0,0.0,,False
3,precision_at_3,0.25,0.25,0.0,0.0,False
3,recall_at_3,0.75,0.75,0.0,0.0,False
3,hit_rate_at_3,0.75,0.75,0.0,0.0,False
3,answer_relevance_score,0.9375,0.9375,0.0,0.0,False
3,attack_success,0.0,0.0,0.0,,False
4,precision_at_3,0.25,0.25,0.0,0.0,False
4,recall_at_3,0.75,0.75,0.0,0.0,False
4,hit_rate_at_3,0.75,0.75,0.0,0.0,False
4,answer_relevance_score,1.0,1.0,0.0,0.0,False
5,precision_at_3,0.25,0.25,0.0,0.0,False
5,recall_at_3,0.75,0.75,0.0,0.0,False
5,hit_rate_at_3,0.75,0.75,0.0,0.0,False
5,answer_relevance_score,0.9375,0.9375,0.0,0.0,False
