trace_id,gate_number,gate_name,gate_status,risk_score,risk_level,action_taken,risk_flags,public_summary,admin_summary,latency_ms,created_at
00121e75-a52e-4598-9403-2b82e534edfa,1,Gate 1 - Input Intent Integrity Check,bypassed,0,low,Bypassed for ablation (ablation_disable_acif),"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Gate 1 bypassed — ablation_disable_acif run (evaluation_mode only),0,2026-07-14 06:19:15.696883+00
00121e75-a52e-4598-9403-2b82e534edfa,2,Gate 2 - Retrieval Context Integrity Scoring,bypassed,,low,Bypassed for ablation (ablation_disable_acif),null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 10 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,0,2026-07-14 06:19:15.696883+00
00121e75-a52e-4598-9403-2b82e534edfa,3,Gate 3 - Graph-Document Consistency Check,bypassed,,low,Bypassed for ablation (ablation_disable_acif),null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"10 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-14 06:19:15.696883+00
00121e75-a52e-4598-9403-2b82e534edfa,4,Gate 4 - Prompt Boundary Construction,bypassed,,low,Bypassed for ablation — naive prompt built (ablation_disable_acif),null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 1222. Sources used: 5.,0,2026-07-14 06:19:15.696883+00
00121e75-a52e-4598-9403-2b82e534edfa,5,Gate 5 - Output Claim Verification,bypassed,,low,Bypassed for ablation (ablation_disable_acif),null,Jawaban tidak diverifikasi (mode ablasi tanpa ACIF).,Gate 5 bypassed — ablation_disable_acif run (evaluation_mode only).,0,2026-07-14 06:19:15.696883+00
00b55f8b-f8c2-4ade-83f0-6a22a78748b1,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-14 06:18:19.952593+00
00b55f8b-f8c2-4ade-83f0-6a22a78748b1,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 10 of 10 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 10 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,5,2026-07-14 06:18:19.952593+00
00b55f8b-f8c2-4ade-83f0-6a22a78748b1,3,Gate 3 - Graph-Document Consistency Check,pass,,low,10 of 10 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"10 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-14 06:18:19.952593+00
00b55f8b-f8c2-4ade-83f0-6a22a78748b1,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 4263. Sources used: 5.,0,2026-07-14 06:18:19.952593+00
00b55f8b-f8c2-4ade-83f0-6a22a78748b1,5,Gate 5 - Output Claim Verification,pass,0.05,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,0/0 klaim didukung sumber (confidence 95%).,0,2026-07-14 06:18:19.952593+00
022bbbd0-60da-4e9d-8118-1356559dc6fe,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-14 06:18:14.10816+00
022bbbd0-60da-4e9d-8118-1356559dc6fe,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 10 of 10 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 10 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,8,2026-07-14 06:18:14.10816+00
022bbbd0-60da-4e9d-8118-1356559dc6fe,3,Gate 3 - Graph-Document Consistency Check,pass,,low,10 of 10 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"10 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-14 06:18:14.10816+00
022bbbd0-60da-4e9d-8118-1356559dc6fe,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 2872. Sources used: 5.,0,2026-07-14 06:18:14.10816+00
022bbbd0-60da-4e9d-8118-1356559dc6fe,5,Gate 5 - Output Claim Verification,pass,0.05,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,0/0 klaim didukung sumber (confidence 95%).,0,2026-07-14 06:18:14.10816+00
035a1683-73ca-42b1-bf34-48445b6f0b98,1,Gate 1 - Input Intent Integrity Check,pass,0,low,Allowed,"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Input passes integrity checks,0,2026-07-14 06:18:23.601981+00
035a1683-73ca-42b1-bf34-48445b6f0b98,2,Gate 2 - Retrieval Context Integrity Scoring,pass,,low,Kept 10 of 10 retrieved chunks; rejected 0.,null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 10 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,4,2026-07-14 06:18:23.601981+00
035a1683-73ca-42b1-bf34-48445b6f0b98,3,Gate 3 - Graph-Document Consistency Check,pass,,low,10 of 10 chunks passed graph consistency check; 0 flagged inconsistent.,null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"10 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-14 06:18:23.601981+00
035a1683-73ca-42b1-bf34-48445b6f0b98,4,Gate 4 - Prompt Boundary Construction,pass,,low,"Built bounded prompt separating policy, context, and user input.",null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 4483. Sources used: 5.,0,2026-07-14 06:18:23.601981+00
035a1683-73ca-42b1-bf34-48445b6f0b98,5,Gate 5 - Output Claim Verification,pass,0.05,low,Answer verified against approved context.,"{""unsupported_claims"": 0, ""unsupported_claim_texts"": [], ""regenerated"": false}",Jawaban telah diverifikasi terhadap sumber resmi.,0/0 klaim didukung sumber (confidence 95%).,0,2026-07-14 06:18:23.601981+00
07527f37-c63a-43a5-8248-36a9c4e7606b,1,Gate 1 - Input Intent Integrity Check,bypassed,0,low,Bypassed for ablation (ablation_disable_acif),"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Gate 1 bypassed — ablation_disable_acif run (evaluation_mode only),0,2026-07-14 06:20:32.91717+00
07527f37-c63a-43a5-8248-36a9c4e7606b,2,Gate 2 - Retrieval Context Integrity Scoring,bypassed,,low,Bypassed for ablation (ablation_disable_acif),null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 10 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,0,2026-07-14 06:20:32.91717+00
07527f37-c63a-43a5-8248-36a9c4e7606b,3,Gate 3 - Graph-Document Consistency Check,bypassed,,low,Bypassed for ablation (ablation_disable_acif),null,Konteks telah dicocokkan dengan basis pengetahuan graf.,"10 chunk konsisten dengan graph evidence, 0 chunk ditandai tidak konsisten.",0,2026-07-14 06:20:32.91717+00
07527f37-c63a-43a5-8248-36a9c4e7606b,4,Gate 4 - Prompt Boundary Construction,bypassed,,low,Bypassed for ablation — naive prompt built (ablation_disable_acif),null,Prompt disusun dengan batas yang aman antara kebijakan sistem dan input pengguna.,Prompt boundary applied: policy/context/user-input separated. Token count: 1426. Sources used: 5.,0,2026-07-14 06:20:32.91717+00
07527f37-c63a-43a5-8248-36a9c4e7606b,5,Gate 5 - Output Claim Verification,bypassed,,low,Bypassed for ablation (ablation_disable_acif),null,Jawaban tidak diverifikasi (mode ablasi tanpa ACIF).,Gate 5 bypassed — ablation_disable_acif run (evaluation_mode only).,0,2026-07-14 06:20:32.91717+00
10487ee4-decd-4c2a-b394-d86c64b85e28,1,Gate 1 - Input Intent Integrity Check,bypassed,0,low,Bypassed for ablation (ablation_disable_acif),"{""matched_signal_count"": 0}",Input Anda telah diperiksa dan aman untuk diproses.,Gate 1 bypassed — ablation_disable_acif run (evaluation_mode only),0,2026-07-14 06:19:15.808542+00
10487ee4-decd-4c2a-b394-d86c64b85e28,2,Gate 2 - Retrieval Context Integrity Scoring,bypassed,,low,Bypassed for ablation (ablation_disable_acif),null,Konteks yang diambil telah diverifikasi sebelum digunakan.,Sistem memilih 10 chunk dan menolak 0 chunk karena tidak memenuhi ambang batas integritas konteks.,0,2026-07-14 06:19:15.808542+00
