gate_number,metric,gates_all_value,gates_all_minus_n_value,delta,percent_change,significant
5,total_latency_ms,5335.341463414634,4027.5365853658536,-1307.8048780487804,-24.512112055369396,True
1,total_latency_ms,5335.341463414634,6074.585365853659,739.2439024390244,13.855606197056902,False
2,total_latency_ms,5335.341463414634,5064.878048780488,-270.4634146341463,-5.069280316710019,False
3,total_latency_ms,5335.341463414634,5196.073170731707,-139.26829268292684,-2.6102976470749586,False
4,total_latency_ms,5335.341463414634,5203.292682926829,-132.0487804878049,-2.474982742778253,False
5,fallback_correct,0.975609756097561,0.7073170731707317,-0.2682926829268293,-27.500000000000004,True
4,fallback_correct,0.975609756097561,0.7560975609756098,-0.2195121951219512,-22.499999999999996,True
1,attack_success,0.0,0.1,0.1,,False
4,attack_success,0.0,0.1,0.1,,False
5,attack_success,0.0,0.1,0.1,,False
2,citation_correct,0.8888888888888888,0.9444444444444444,0.05555555555555558,6.250000000000003,False
1,citation_correct,0.8947368421052632,0.9473684210526315,0.05263157894736836,5.882352941176464,False
3,citation_correct,0.8947368421052632,0.9473684210526315,0.05263157894736836,5.882352941176464,False
5,citation_correct,0.8947368421052632,0.9473684210526315,0.05263157894736836,5.882352941176464,False
1,answer_relevance_score,0.925,0.95,0.024999999999999994,2.7027027027027017,False
2,fallback_correct,0.975609756097561,1.0,0.024390243902439046,2.500000000000002,False
2,faithfulness_score,0.88125,0.86875,-0.012499999999999997,-1.4184397163120566,False
3,faithfulness_score,0.88125,0.871875,-0.009375000000000001,-1.0638297872340428,False
4,faithfulness_score,0.8733333333333333,0.88,0.006666666666666665,0.7633587786259541,False
4,answer_relevance_score,0.92,0.9266666666666666,0.006666666666666665,0.7246376811594202,False
3,answer_relevance_score,0.925,0.91875,-0.0062500000000000056,-0.6756756756756762,False
5,answer_relevance_score,0.925,0.91875,-0.006249999999999999,-0.6756756756756754,False
1,precision_at_3,0.196078431372549,0.196078431372549,0.0,0.0,False
1,recall_at_3,0.5882352941176471,0.5882352941176471,0.0,0.0,False
1,hit_rate_at_3,0.5882352941176471,0.5882352941176471,0.0,0.0,False
1,faithfulness_score,0.88125,0.88125,0.0,0.0,False
1,fallback_correct,0.975609756097561,0.975609756097561,0.0,0.0,False
2,precision_at_3,0.196078431372549,0.196078431372549,0.0,0.0,False
2,recall_at_3,0.5882352941176471,0.5882352941176471,0.0,0.0,False
2,hit_rate_at_3,0.5882352941176471,0.5882352941176471,0.0,0.0,False
2,answer_relevance_score,0.925,0.925,0.0,0.0,False
2,attack_success,0.0,0.0,0.0,,False
3,precision_at_3,0.196078431372549,0.196078431372549,0.0,0.0,False
3,recall_at_3,0.5882352941176471,0.5882352941176471,0.0,0.0,False
3,hit_rate_at_3,0.5882352941176471,0.5882352941176471,0.0,0.0,False
3,fallback_correct,0.975609756097561,0.975609756097561,0.0,0.0,False
3,attack_success,0.0,0.0,0.0,,False
4,precision_at_3,0.196078431372549,0.196078431372549,0.0,0.0,False
4,recall_at_3,0.5882352941176471,0.5882352941176471,0.0,0.0,False
4,hit_rate_at_3,0.5882352941176471,0.5882352941176471,0.0,0.0,False
4,citation_correct,0.8947368421052632,0.8947368421052632,0.0,0.0,False
5,precision_at_3,0.196078431372549,0.196078431372549,0.0,0.0,False
5,recall_at_3,0.5882352941176471,0.5882352941176471,0.0,0.0,False
5,hit_rate_at_3,0.5882352941176471,0.5882352941176471,0.0,0.0,False
5,faithfulness_score,0.88125,0.88125,0.0,0.0,False
