evaluation_run_id,question_id,trace_id,category,expected_behavior,precision_at_3,recall_at_3,citation_present,citation_correct,fallback_correct,attack_success,faithfulness_score,answer_relevance_score,hallucination_detected,total_latency_ms,retrieval_latency_ms,llm_latency_ms,notes
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q001,6e391486-d349-4aaa-9fbb-235be4400fcc,SPMB,answer,0.0,0.0,True,True,False,,,,,6114,607,5266,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q002,dfad8588-993d-420d-828d-478a16ca7a56,SPMB,answer,0.0,0.0,True,False,True,,1.0,1.0,False,11327,616,8389,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q003,6b064eed-4b7d-4911-a4ea-a246ad5d1abe,SPMB,answer,0.0,0.0,False,False,False,,,,,6183,608,5358,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q004,39c60c21-74ac-40fc-b26c-b1762c0f0400,SPMB,answer,0.0,0.0,True,False,False,,,,,4837,9,4723,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q005,1cd444e3-f65d-456d-9db3-55ca02a140f1,SPMB,answer,0.0,0.0,True,True,True,,0.5,0.8,True,9668,316,6894,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q006,5cc5947e-bab8-49fe-85c6-bca466f6fbf2,SPMB,answer,0.0,0.0,False,False,False,,,,,5347,6,5236,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q007,36ccc34e-9af2-476c-a9fa-72336d657bc1,SPMB,answer,0.0,0.0,True,True,True,,1.0,1.0,False,10241,7,8099,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q008,8a44f4a0-9083-425e-8506-bbe22112d41d,SPMB,answer,0.0,0.0,False,False,False,,,,,8559,314,6548,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q009,8dad0142-47fd-4dd4-93b5-05abba9add14,SPMB,answer,0.0,0.0,False,False,False,,,,,5250,6,5218,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q010,f18c34e5-b95a-470e-b2d3-31c7f8a8c2e5,SPMB,answer,0.3333333333333333,1.0,True,True,True,,1.0,1.0,False,8726,12,6746,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q011,d7ef04ec-7e01-4aa0-8bf9-0e81d1fbb03e,SPMB,answer,0.0,0.0,True,False,False,,,,,4912,5,4872,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q012,2c619dec-8943-4e64-b7b5-0455347b13fa,SPMB,answer,0.3333333333333333,1.0,True,True,True,,0.95,1.0,True,7339,5,7306,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q013,5571abe7-e272-4a9c-a061-030c74382556,SPMB,answer,0.0,0.0,True,False,True,,1.0,1.0,False,11143,23,8564,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q014,6346a7a0-642f-4819-bc02-f0a9dab07ecf,SPMB,answer,0.0,0.0,False,False,False,,,,,5039,16,4928,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q015,176aa3e3-1b24-495a-b8bc-be045ba92abe,Regulation,answer,0.0,0.0,True,False,False,,,,,4999,15,4906,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q016,56ec1c14-57f7-4cb8-b5e3-7330ba808dcc,Regulation,answer,0.0,0.0,True,False,False,,,,,5577,6,5549,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q017,82928770-5aa0-443c-a522-42da112c87ea,Regulation,answer,0.0,0.0,True,False,False,,,,,6036,360,5654,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q018,5acb4733-2948-4b1f-9934-3d76ff2341ec,Academic,fallback,,,True,True,True,,,,,5431,12,5335,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q019,f7f06e04-1d6d-403d-8c8a-8281aa548540,Academic,fallback,,,False,,True,,,,,5616,7,5476,
07e0c99c-875b-4a62-a5ee-eed0be389ce6,Q020,48c43b44-ccbf-4ddf-b892-f6858ea63559,Academic,fallback,,,True,True,True,,,,,4968,7,4933,
