gate_number,metric,gates_all_value,gates_all_minus_n_value,delta,percent_change,significant
5,total_latency_ms,5165.4390243902435,4165.707317073171,-999.7317073170732,-19.354244674973913,True
1,total_latency_ms,5165.4390243902435,5963.268292682927,797.829268292683,15.44552678921349,False
4,total_latency_ms,5165.4390243902435,4448.731707317073,-716.7073170731708,-13.875051349730622,False
3,total_latency_ms,5165.4390243902435,4538.0,-627.439024390244,-12.146867312296077,True
2,total_latency_ms,5165.4390243902435,4663.926829268293,-501.5121951219512,-9.708994584078987,False
5,fallback_correct,0.9512195121951219,0.7073170731707317,-0.24390243902439024,-25.641025641025646,True
3,answer_relevance_score,0.9615384615384616,0.8384615384615385,-0.12307692307692308,-12.8,False
4,fallback_correct,0.9512195121951219,0.8292682926829268,-0.12195121951219512,-12.820512820512823,False
4,faithfulness_score,0.8,0.9133333333333333,0.11333333333333334,14.166666666666666,False
1,attack_success,0.0,0.1,0.1,,False
4,attack_success,0.0,0.1,0.1,,False
5,attack_success,0.0,0.1,0.1,,False
4,answer_relevance_score,0.9,0.9533333333333334,0.05333333333333334,5.9259259259259265,False
3,citation_correct,0.8,0.75,-0.050000000000000044,-6.250000000000005,False
2,answer_relevance_score,0.9642857142857143,0.9142857142857144,-0.049999999999999996,-5.185185185185184,False
1,fallback_correct,0.9512195121951219,0.9024390243902439,-0.04878048780487798,-5.128205128205121,False
3,fallback_correct,0.9512195121951219,0.9024390243902439,-0.04878048780487798,-5.128205128205121,False
3,faithfulness_score,0.8846153846153846,0.8384615384615385,-0.04615384615384615,-5.217391304347826,False
5,faithfulness_score,0.8,0.8333333333333334,0.03333333333333333,4.166666666666666,False
5,answer_relevance_score,0.9,0.87,-0.029999999999999995,-3.3333333333333326,False
2,fallback_correct,0.9512195121951219,0.926829268292683,-0.024390243902438935,-2.564102564102555,False
1,faithfulness_score,0.8571428571428571,0.8428571428571429,-0.014285714285714287,-1.666666666666667,False
1,answer_relevance_score,0.9642857142857143,0.9500000000000001,-0.014285714285714282,-1.481481481481481,False
2,faithfulness_score,0.8571428571428571,0.8571428571428571,3.96508223080413e-18,4.625929269271485e-16,False
1,precision_at_3,0.11764705882352941,0.11764705882352941,0.0,0.0,False
1,recall_at_3,0.35294117647058826,0.35294117647058826,0.0,0.0,False
1,hit_rate_at_3,0.35294117647058826,0.35294117647058826,0.0,0.0,False
1,citation_correct,0.7894736842105263,0.7894736842105263,0.0,0.0,False
2,precision_at_3,0.11764705882352941,0.11764705882352941,0.0,0.0,False
2,recall_at_3,0.35294117647058826,0.35294117647058826,0.0,0.0,False
2,hit_rate_at_3,0.35294117647058826,0.35294117647058826,0.0,0.0,False
2,citation_correct,0.8,0.8,0.0,0.0,False
2,attack_success,0.0,0.0,0.0,,False
3,precision_at_3,0.11764705882352941,0.11764705882352941,0.0,0.0,False
3,recall_at_3,0.35294117647058826,0.35294117647058826,0.0,0.0,False
3,hit_rate_at_3,0.35294117647058826,0.35294117647058826,0.0,0.0,False
3,attack_success,0.0,0.0,0.0,,False
4,precision_at_3,0.11764705882352941,0.11764705882352941,0.0,0.0,False
4,recall_at_3,0.35294117647058826,0.35294117647058826,0.0,0.0,False
4,hit_rate_at_3,0.35294117647058826,0.35294117647058826,0.0,0.0,False
4,citation_correct,0.7894736842105263,0.7894736842105263,0.0,0.0,False
5,precision_at_3,0.11764705882352941,0.11764705882352941,0.0,0.0,False
5,recall_at_3,0.35294117647058826,0.35294117647058826,0.0,0.0,False
5,hit_rate_at_3,0.35294117647058826,0.35294117647058826,0.0,0.0,False
5,citation_correct,0.7894736842105263,0.7894736842105263,0.0,0.0,False
