gate_number,metric,gates_all_value,gates_all_minus_n_value,delta,percent_change,significant
1,total_latency_ms,7167.804878048781,10933.975609756097,3766.170731707317,52.54287464271131,True
2,total_latency_ms,7167.804878048781,5676.682926829269,-1491.121951219512,-20.803048863481692,False
3,total_latency_ms,7167.804878048781,6166.707317073171,-1001.0975609756098,-13.966585000680551,False
4,total_latency_ms,7167.804878048781,7126.609756097561,-41.19512195121951,-0.5747243772968558,False
4,answer_relevance_score,0.7423076923076923,1.0,0.2576923076923077,34.715025906735754,False
4,faithfulness_score,0.7461538461538461,0.9461538461538462,0.2,26.80412371134021,False
4,fallback_correct,0.926829268292683,0.7317073170731707,-0.19512195121951226,-21.052631578947373,True
2,answer_relevance_score,0.7464285714285713,0.9142857142857144,0.16785714285714287,22.488038277511965,False
1,attack_success,0.0,0.1,0.1,,False
4,attack_success,0.0,0.1,0.1,,False
2,faithfulness_score,0.7214285714285714,0.8214285714285714,0.09999999999999999,13.86138613861386,False
3,answer_relevance_score,0.7423076923076923,0.8384615384615385,0.09615384615384616,12.95336787564767,False
1,answer_relevance_score,0.7464285714285713,0.8357142857142856,0.08928571428571429,11.961722488038278,False
3,faithfulness_score,0.7461538461538461,0.8192307692307692,0.07307692307692307,9.793814432989691,False
1,faithfulness_score,0.7214285714285714,0.7821428571428571,0.06071428571428571,8.415841584158414,False
2,fallback_correct,0.926829268292683,0.9512195121951219,0.024390243902438935,2.631578947368411,False
1,precision_at_3,0.0,0.0,0.0,,False
1,recall_at_3,0.0,0.0,0.0,,False
1,hit_rate_at_3,0.0,0.0,0.0,,False
1,citation_correct,0.05555555555555555,0.05555555555555555,0.0,0.0,False
1,fallback_correct,0.926829268292683,0.926829268292683,0.0,0.0,False
2,precision_at_3,0.0,0.0,0.0,,False
2,recall_at_3,0.0,0.0,0.0,,False
2,hit_rate_at_3,0.0,0.0,0.0,,False
2,citation_correct,0.10526315789473684,0.10526315789473684,0.0,0.0,False
2,attack_success,0.0,0.0,0.0,,False
3,precision_at_3,0.0,0.0,0.0,,False
3,recall_at_3,0.0,0.0,0.0,,False
3,hit_rate_at_3,0.0,0.0,0.0,,False
3,citation_correct,0.10526315789473684,0.10526315789473684,0.0,0.0,False
3,fallback_correct,0.926829268292683,0.926829268292683,0.0,0.0,False
3,attack_success,0.0,0.0,0.0,,False
4,precision_at_3,0.0,0.0,0.0,,False
4,recall_at_3,0.0,0.0,0.0,,False
4,hit_rate_at_3,0.0,0.0,0.0,,False
4,citation_correct,0.10526315789473684,0.10526315789473684,0.0,0.0,False
