chunk_id,document_title,chunk_index,old_summary_preview,new_summary_preview,status
doc_de9f58af-6d12-4c8d-912a-3c752060a494_0,visual_chunk_test.pdf,0,This document outlines the registration steps for the SPMB Independent Path and ,Dokumen ini berisi panduan alur pendaftaran SPMB jalur mandiri dan menyarankan u,fixed
doc_d1d5ab22-49c7-4087-8b86-af4341d7d0cb_0,Risk Flag Test,0,"This document is a test for risk flag detection for admin review, and it instruc",Dokumen ini adalah dokumen uji coba yang bertujuan untuk menguji deteksi tanda r,fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_7,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,7,"The document outlines the Scholastic and Literacy Potential Test for students, c",Tes Potensi Skolastik dan Literasi mengukur Kemampuan Penalaran Umum (Penalaran ,fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_1,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,1,"This document, dated April 26, 2026, establishes the Guidelines for the Independ","Dokumen ini merujuk pada beberapa peraturan dan keputusan, yaitu Peraturan Mente",fixed
doc_560d3780-2791-4747-892d-a91d4466c932_12,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,12,This document is a declaration for the Poltekkes Kemenkes Yogyakarta New Student,Dokumen ini berisi surat pernyataan calon mahasiswa baru Seleksi Penerimaan Maha,fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_8,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,8,"For foreign nationals, proof of UKT, uniform, and dormitory re-registration, alo","Dokumen ini menjelaskan persyaratan pendaftaran ulang bagi Warga Negara Asing, t",fixed
doc_560d3780-2791-4747-892d-a91d4466c932_16,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,16,"This document is a Portfolio Form for New Student Admissions in 2026, collecting",Dokumen ini merupakan formulir portofolio prestasi akademik dan non-akademik unt,fixed
doc_560d3780-2791-4747-892d-a91d4466c932_17,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,17,This document is a declaration of originality for a portfolio submission related,Dokumen ini berisi pernyataan keaslian dari individu yang melampirkan informasi ,fixed
doc_560d3780-2791-4747-892d-a91d4466c932_14,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,14,This document contains several forms and declarations. It includes sections for ,"Dokumen ini berisi beberapa formulir pernyataan. Pertama, data wali meliputi nam",fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_1,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,1,"This document outlines the legal basis for the ""Pedoman Seleksi Penerimaan Mahas",Dokumen ini memuat daftar peraturan dan keputusan terkait pendidikan dan kesehat,fixed
doc_398b0667-dcf2-4c7c-9ea8-d4fbaec70842_6,Pengumuman Pemanggilan Cadangan I  SPMB Prestasi 2026,6,This document excerpt is a form for new students applying to Poltekkes Kemenkes ,Dokumen ini berisi bagian dari wawancara tertulis untuk calon mahasiswa baru Pol,fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_5,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,5,Applicants for health science programs must meet specific height requirements: 1,Persyaratan tinggi badan untuk program studi Keperawatan adalah minimal 155 cm u,fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_6,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,6,The Poltekkes Kemenkes Yogyakarta SPMB Mandiri registration requires applicants ,Berikut adalah ringkasan dari dokumen tersebut:  C. Mekanisme Pendaftaran: a. Pe,fixed
doc_a2a6bec7-c8d7-4b22-bcc8-d5d2f7caf11c_0,Hasi Seleksi Tahap II  SPMB Profesi Gelombang I 2026,0,"This announcement, dated April 1, 2026, declares the results of the Stage II Ind",Pengumuman Nomor: ${nomor_naskah} ini berisi hasil seleksi penerimaan mahasiswa ,fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_2,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,2,The Guidelines for the Independent Regular New Student Admission Selection (SPMB,Pedoman Seleksi Penerimaan Mahasiswa Baru (SPMB) Mandiri Reguler SMA Poltekkes K,fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_7,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,7,"This document, dated April 6, 2026, from Yogyakarta, lists registration numbers ",Dokumen ini berisi daftar nomor pendaftaran untuk beberapa program studi di Poli,fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_5,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,5,This document outlines admission requirements for several programs at Poltekkes ,Ringkasan ini merinci persyaratan untuk program studi dan persyaratan umum serta,fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_0,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,0,"This document, signed electronically by the Director of Poltekkes Kemenkes Yogya",Dokumen ini berisi Pedoman Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Mandir,fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_0,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,0,"This document, signed electronically by the Director of Poltekkes Kemenkes Yogya",Dokumen ini berisi Pedoman Seleksi Penerimaan Mahasiswa Baru (SPMB) Mandiri Regu,fixed
doc_a2a6bec7-c8d7-4b22-bcc8-d5d2f7caf11c_1,Hasi Seleksi Tahap II  SPMB Profesi Gelombang I 2026,1,This document contains information related to the Politeknik Kesehatan Yogyakart,Dokumen ini berisi informasi kontak HALO KEMENKES 1500567 dan https://wbs.kemkes,fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_13,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,13,This document outlines several commitments required of a student at Poltekkes Ke,"Dokumen ini berisi dua surat pernyataan. Pertama, surat pernyataan kesediaan mah",fixed
doc_2d5f593e-99cf-4d59-9501-c4ee68262f11_2,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,2,"This document, signed electronically by the Director of Poltekkes Kemenkes Yogya",Dokumen ini berisi Pedoman Seleksi Penerimaan Mahasiswa Baru (SPMB) Mandiri Prog,fixed
doc_a57ef227-f21f-4369-933f-15c03d41645c_11,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,11,This document chunk pertains to the Poltekkes Kemenkes Yogyakarta's new student ,Dokumen ini berisi formulir pemeriksaan kesehatan yang mencakup riwayat penyakit,fixed
