id,trace_id,session_id,participant_code,scenario_code,evaluation_mode,user_question,normalized_question,final_answer,fallback_triggered,fallback_reason,answer_status,total_latency_ms,retrieval_latency_ms,graph_latency_ms,acif_latency_ms,llm_latency_ms,output_verification_latency_ms,model_used,input_tokens,output_tokens,estimated_cost,error_message,created_at,rewritten_queries,detected_terms,expanded_terms,intent,intent_confidence,clarification_used
2156a303-80ae-42e6-b93a-7b9a2bc56005,c446df55-ecd6-4e13-8e51-1c48650f2e39,2732cb19-2757-409f-b079-bd26a1b77e50,,gold_qa:Q002,t,Bagaimana mekanisme pendaftaran SPMB Jalur Mandiri Reguler SMA dan berapa biaya pendaftarannya?,bagaimana mekanisme pendaftaran spmb jalur mandiri reguler sma dan berapa biaya pendaftarannya,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,t,llm_stated_not_in_sources,insufficient_context,5434,483,109,10,4799,0,google/gemini-2.5-pro,4316,411,0,,2026-07-24 14:44:42.190507+00,"[""bagaimana mekanisme pendaftaran spmb jalur mandiri reguler sma dan berapa biaya pendaftarannya"", ""bagaimana mekanisme pendaftaran spmb seleksi penerimaan mahasiswa baru jalur mandiri reguler sma dan berapa biaya pendaftarannya"", ""biaya biaya""]","[""spmb"", ""pendaftaran"", ""biaya""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",fee,0.9,f
bfa3e625-a8b0-4661-9e6a-5bf5eb2eeb99,290205f2-97b3-4e86-a2ee-b81a5d24b401,71710274-38b3-4d12-8781-aa3ebbfdb97b,,gold_qa:Q003,t,Apa saja komponen dan durasi Tes Potensi Skolastik dan Literasi pada SPMB Jalur Mandiri Reguler SMA?,apa saja komponen dan durasi tes potensi skolastik dan literasi pada spmb jalur mandiri reguler sma,"Tentu, berikut adalah rincian mengenai komponen dan durasi Tes Potensi Skolastik dan Literasi pada SPMB Jalur Mandiri Reguler SMA.

Berdasarkan pedoman, materi ujian CBT (Computer Based Test) adalah Tes Potensi Skolastik dan Literasi yang berfokus pada kemampuan penalaran dan pemecahan masalah.

**Durasi Ujian**
Total alokasi waktu untuk pengerjaan soal adalah **90 menit**. (Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027, Bagian F)

**Komponen Ujian**
Materi ujian terdiri dari dua komponen utama, yaitu Tes Potensi Skolastik dan Tes Literasi, dengan rincian sebagai berikut:

| Komponen | Subkomponen | Jumlah Soal |
| :--- | :--- | :--- |
| **Tes Potensi Skolastik** | a. Kemampuan Penalaran Umum (mencakup Penalaran Induktif, Penalaran Deduktif, dan Penalaran Kuantitatif)<br>b. Pengetahuan dan Pemahaman Umum<br>c. Kemampuan Memahami Bacaan<br>d. Pengetahuan Kuantitatif | 70 butir |
| **Tes Literasi** | a. Literasi dalam Bahasa Indonesia<br>b. Literasi dalam Bahasa Inggris<br>c. Penalaran Matematika | |

(Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027, Bagian F)",f,,verified,8472,337,52,12,8029,0,google/gemini-2.5-pro,5093,745,0,,2026-07-24 14:44:45.221562+00,"[""apa saja komponen dan durasi tes potensi skolastik dan literasi pada spmb jalur mandiri reguler sma"", ""apa saja komponen dan durasi tes potensi skolastik dan literasi pada spmb seleksi penerimaan mahasiswa baru jalur mandiri reguler sma"", ""prosedur alur seleksi penerimaan mahasiswa baru""]","[""spmb""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",procedure,0.9,f
bcd319cc-c7a0-4432-bfba-5f42c9ad2c64,7957e8c4-6b13-4942-ab0f-525c907a3d76,2d6ad8e3-aa40-432b-87fb-7f14bd15b1e9,,gold_qa:Q001,t,Apa saja syarat tinggi badan untuk pendaftar SPMB Jalur Mandiri Reguler SMA program studi Keperawatan dan Kebidanan?,apa saja syarat tinggi badan untuk pendaftar spmb jalur mandiri reguler sma program studi keperawatan dan kebidanan,"Berdasarkan informasi resmi yang tersedia, berikut adalah persyaratan tinggi badan untuk pendaftar Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Mandiri Reguler SMA di Poltekkes Kemenkes Yogyakarta untuk program studi Keperawatan dan Kebidanan:

*   **Program Studi Keperawatan:**
    *   Tinggi badan minimal **155 cm** bagi pendaftar laki-laki.
    *   Tinggi badan minimal **150 cm** bagi pendaftar perempuan.

*   **Program Studi Kebidanan:**
    *   Hanya menerima pendaftar perempuan.
    *   Tinggi badan minimal **150 cm**.

Perlu diperhatikan bahwa hasil pengukuran tinggi badan yang berlaku adalah hasil pengukuran pada saat tahap uji kesehatan.

(Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027)",f,,verified,11116,551,106,3,6232,4185,google/gemini-2.5-pro,3485,565,0,,2026-07-24 14:44:47.862471+00,"[""apa saja syarat tinggi badan untuk pendaftar spmb jalur mandiri reguler sma program studi keperawatan dan kebidanan"", ""apa saja syarat tinggi badan untuk pendaftar spmb seleksi penerimaan mahasiswa baru jalur mandiri reguler sma program studi keperawatan dan kebidanan"", ""persyaratan persyaratan"", ""apa saja syarat tinggi badan untuk pendaftar spmb jalur mandiri reguler sma program studi keperawatan dan kebidanan persyaratan""]","[""spmb"", ""persyaratan""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",requirement,0.9,f
74e517ad-9dfa-41fe-843c-9aafbec7faea,cb8e3a65-a7d5-45f9-a802-ae6e1aae2341,6b34b0f1-cbf7-410b-b061-02964e57c7c2,,gold_qa:Q005,t,Apakah biaya yang sudah dikeluarkan pendaftar SPMB Mandiri Reguler SMA dapat ditarik kembali?,apakah biaya yang sudah dikeluarkan pendaftar spmb mandiri reguler sma dapat ditarik kembali,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,t,llm_stated_not_in_sources,insufficient_context,5048,187,49,5,4791,0,google/gemini-2.5-pro,4752,354,0,,2026-07-24 14:44:53.691121+00,"[""apakah biaya yang sudah dikeluarkan pendaftar spmb mandiri reguler sma dapat ditarik kembali"", ""apakah biaya yang sudah dikeluarkan pendaftar spmb seleksi penerimaan mahasiswa baru mandiri reguler sma dapat ditarik kembali"", ""biaya biaya""]","[""spmb"", ""biaya""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",fee,0.9,f
e671090f-b36a-4af1-906a-0fc7e71b83ca,56c8766d-5e90-4fa3-bc96-9a0071dcad16,e78707de-42cf-4d5d-a0c4-95fcbfb46375,,gold_qa:Q006,t,Program studi apa saja yang bisa dituju melalui jalur RPL (Rekognisi Pembelajaran Lampau) Sarjana Terapan?,program studi apa saja yang bisa dituju melalui jalur rpl rekognisi pembelajaran lampau sarjana terapan,"Berdasarkan informasi resmi yang tersedia, program studi yang dibuka pada penerimaan mahasiswa baru melalui Jalur Mandiri Program RPL (Rekognisi Pembelajaran Lampau) Sarjana Terapan di Poltekkes Kemenkes Yogyakarta untuk periode Ganjil adalah sebagai berikut:

*   Program Studi Teknologi Laboratorium Medis Program Sarjana Terapan
*   Program Studi Gizi dan Dietetika Program Sarjana Terapan
*   Program Studi Kebidanan Program Sarjana Terapan
*   Program Studi Terapi Gigi Program Sarjana Terapan
*   Program Studi Sanitasi Lingkungan Program Sarjana Terapan

(Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026, BAB II MEKANISME PENDAFTARAN)",f,,verified,9279,66,47,14,5223,3913,google/gemini-2.5-pro,4832,469,0,,2026-07-24 14:45:02.994489+00,"[""program studi apa saja yang bisa dituju melalui jalur rpl rekognisi pembelajaran lampau sarjana terapan"", ""prosedur alur penerimaan mahasiswa baru poltekkes""]",[],[],procedure,0.9,f
5c3a9092-a2bc-437d-bb77-804912a815ab,25b42916-b65b-41ab-9f6b-75149351eb0a,ffa565ad-27fe-476f-8081-4dec11de387d,,gold_qa:Q004,t,Dokumen apa saja yang perlu disiapkan saat daftar ulang mahasiswa baru jalur mandiri reguler SMA?,dokumen apa saja yang perlu disiapkan saat daftar ulang mahasiswa baru jalur mandiri reguler sma,"Berdasarkan sumber resmi yang tersedia, informasi spesifik mengenai dokumen yang perlu disiapkan saat daftar ulang untuk mahasiswa baru jalur mandiri reguler SMA tidak ditemukan.

Sumber yang ada membahas jalur lain seperti SPMB Prestasi dan SPMB Mandiri RPL, atau membahas tata tertib ujian untuk jalur mandiri reguler SMA, namun tidak merinci dokumen untuk proses daftar ulangnya.

Untuk informasi yang akurat, disarankan untuk memantau pengumuman resmi lebih lanjut di situs web Poltekkes Kemenkes Yogyakarta.",f,,verified,35463,88,45,8,6129,29177,google/gemini-2.5-pro,4410,505,0,,2026-07-24 14:45:17.934011+00,"[""dokumen apa saja yang perlu disiapkan saat daftar ulang mahasiswa baru jalur mandiri reguler sma"", ""dokumen persyaratan dokumen"", ""dokumen apa saja yang perlu disiapkan saat daftar ulang mahasiswa baru jalur mandiri reguler sma pendaftaran""]","[""pendaftaran"", ""dokumen""]",[],document_requirement,0.9,f
49650d99-1c9a-4a7b-b48a-c52245e4532e,b8a6b64a-3800-4cd6-a4c8-c666aa2c40a6,00873d2d-52bc-4c8e-8f37-809782924d9c,,gold_qa:Q007,t,Bagaimana proses penentuan kelulusan Tahap III dan Tahap IV pada SPMB Jalur Mandiri RPL?,bagaimana proses penentuan kelulusan tahap iii dan tahap iv pada spmb jalur mandiri rpl,"Berdasarkan informasi resmi yang tersedia, berikut adalah proses penentuan kelulusan Tahap III dan Tahap IV pada Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Mandiri Program RPL:

*   **Tahap III**: Kelulusan pada tahap ini didasarkan pada hasil konversi nilai dan *assessment* berdasarkan kriteria penilaian yang telah ditetapkan.
*   **Tahap IV**: Kelulusan pada tahap ini didasarkan pada hasil tes kesehatan yang dilakukan oleh tim yang ditunjuk oleh Poltekkes Kemenkes Yogyakarta. Tes ini meliputi:
    *   Sehat fisik
    *   Psikologi
    *   Tidak menggunakan narkoba
    *   Tidak hamil bagi perempuan

Biaya untuk uji kesehatan pada tahap ini adalah **Rp 600.000,-**.

(Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026, Bagian H)",f,,verified,8547,75,45,6,6997,1406,google/gemini-2.5-pro,5216,568,0,,2026-07-24 14:45:19.249719+00,"[""bagaimana proses penentuan kelulusan tahap iii dan tahap iv pada spmb jalur mandiri rpl"", ""bagaimana proses penentuan kelulusan tahap iii dan tahap iv pada spmb seleksi penerimaan mahasiswa baru jalur mandiri rpl"", ""prosedur alur seleksi penerimaan mahasiswa baru""]","[""spmb""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",procedure,0.9,f
6c0b5dae-2cfd-4266-8d86-5dea0cb9e10a,981c5956-d989-42ca-bc69-d2784212e098,9f773ea0-66b1-42de-bd9c-30c7ab9d6af1,,gold_qa:Q008,t,Apakah biaya daftar ulang SPMB Jalur Mandiri RPL dapat diambil kembali jika calon mahasiswa mengundurkan diri?,apakah biaya daftar ulang spmb jalur mandiri rpl dapat diambil kembali jika calon mahasiswa mengundurkan diri,"Berdasarkan informasi resmi yang tersedia, semua biaya daftar ulang yang telah dibayarkan kepada Poltekkes Kemenkes Yogyakarta **tidak dapat diambil kembali dengan alasan apapun** jika calon mahasiswa mengundurkan diri.

Prosedur pengunduran diri bagi calon mahasiswa baru Jalur SPMB Mandiri RPL yang telah melakukan daftar ulang adalah sebagai berikut:
1.  Wajib melapor kepada Panitia SPMB Poltekkes Kemenkes Yogyakarta Tahun Akademik 2026/2027.
2.  Membuat Surat Pernyataan Pengunduran Diri yang dibubuhi materai **Rp 10.000,-**.

(Sumber: HASIL SELEKSI TAHAP IV SPMB MANDIRI PRODI SARJANA TERAPAN (RPL) GELOMBANG 2 POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027, Bagian C; 3306 PENGUMUMAN HASIL SELEKSI TAHAP IV SPMB MANDIRI PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027, Bagian C)",f,,verified,12531,147,50,5,6494,5817,google/gemini-2.5-pro,7247,671,0,,2026-07-24 14:45:27.426118+00,"[""apakah biaya daftar ulang spmb jalur mandiri rpl dapat diambil kembali jika calon mahasiswa mengundurkan diri"", ""apakah biaya daftar ulang spmb seleksi penerimaan mahasiswa baru jalur mandiri rpl dapat diambil kembali jika calon mahasiswa mengundurkan diri"", ""biaya biaya"", ""apakah biaya daftar ulang spmb jalur mandiri rpl dapat diambil kembali jika calon mahasiswa mengundurkan diri pendaftaran""]","[""spmb"", ""pendaftaran"", ""biaya""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",fee,0.9,f
865b6156-1b58-44b2-9e19-6bcff80de8ab,22dc1229-c8ad-4494-bf88-a4035f58c908,42318845-096c-4b4f-8e08-87462ed3ae62,,gold_qa:Q009,t,Berapa tahapan seleksi SPMB Prestasi berdasarkan Prestasi Minat dan Bakat?,berapa tahapan seleksi spmb prestasi berdasarkan prestasi minat dan bakat,"Berdasarkan informasi resmi yang tersedia, seleksi SPMB Prestasi berdasarkan Prestasi Minat dan Bakat dilaksanakan melalui tiga tahapan.

Tahapan-tahapan tersebut adalah sebagai berikut:
1.  **Tahap I**: Seleksi berdasarkan kelengkapan berkas administrasi sesuai persyaratan.
2.  **Tahap II**: Seleksi berdasarkan nilai kumulatif atau prestasi.
3.  **Tahap III**: Seleksi pemeriksaan kesehatan (bagi yang lulus seleksi tahap I dan II) dan Wawancara.

Peserta yang diterima sebagai calon mahasiswa baru adalah mereka yang dinyatakan lulus pada ketiga tahapan seleksi tersebut (Tahap I, Tahap II, dan Tahap III).

Prestasi Minat dan Bakat yang dimaksud meliputi:
*   Bahasa Inggris atau Bahasa lainnya
*   Hafidz/Hafidzah Al Quran
*   Olahraga atau Seni dan budaya
*   Prestasi unggulan lainnya

(Sumber: PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027)",f,,verified,11551,60,0,3,5311,6162,google/gemini-2.5-pro,3805,568,0,,2026-07-24 14:45:33.247551+00,"[""berapa tahapan seleksi spmb prestasi berdasarkan prestasi minat dan bakat"", ""berapa tahapan seleksi spmb seleksi penerimaan mahasiswa baru prestasi berdasarkan prestasi minat dan bakat"", ""prosedur alur seleksi penerimaan mahasiswa baru""]","[""spmb""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",procedure,0.9,f
b81c7136-b710-4d7b-a269-0db1eb8de2c8,3eefb302-7749-418d-ac00-ffbf58b7785e,2165c945-5cc7-48ae-99f5-b8dbdd26f6be,,gold_qa:Q010,t,Apa syarat nilai rapor dan tinggi badan untuk SPMB Prestasi jurusan Kebidanan dan Keperawatan?,apa syarat nilai rapor dan tinggi badan untuk spmb prestasi jurusan kebidanan dan keperawatan,"Berdasarkan pedoman resmi, berikut adalah persyaratan nilai rapor dan tinggi badan untuk Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Prestasi pada Jurusan Kebidanan dan Keperawatan di Poltekkes Kemenkes Yogyakarta:

*   **Nilai Rapor**: Calon peserta harus memiliki nilai rapor minimal 70 untuk semua mata pelajaran dari semester I hingga V. (Sumber: PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027)
*   **Tinggi Badan**: Untuk Jurusan Kebidanan dan Keperawatan, persyaratan tinggi badan minimal adalah:
    *   Laki-laki: 155 cm
    *   Perempuan: 150 cm

(Sumber: PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027)",f,,verified,12108,95,50,2,6946,5000,google/gemini-2.5-pro,3812,601,0,,2026-07-24 14:45:35.265332+00,"[""apa syarat nilai rapor dan tinggi badan untuk spmb prestasi jurusan kebidanan dan keperawatan"", ""apa syarat nilai rapor dan tinggi badan untuk spmb seleksi penerimaan mahasiswa baru prestasi jurusan kebidanan dan keperawatan"", ""persyaratan persyaratan"", ""apa syarat nilai rapor dan tinggi badan untuk spmb prestasi jurusan kebidanan dan keperawatan persyaratan""]","[""spmb"", ""persyaratan""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",requirement,0.9,f
