Kondisi,Nama_Config,Jumlah_Gate_Aktif,Precision_at_3,Recall_at_3,Citation_Coverage_pct,Citation_Correctness_pct,Fallback_Correctness_pct,Attack_Success_Rate_pct,Faithfulness,Answer_Relevance,Latency_Total_ms,Catatan
Semua Gate Nonaktif (0 Gate),gates_none,0,0.0,0.0,65.85,37.04,41.46,100.0,0.7782,0.7833,5654.5,"N/A - precision@3/recall@3 = 0.0 di semua kondisi (masalah lama pada pin expected_chunk_ids gold_qa_dataset.jsonl vs document_chunks.id saat ini, sudah terdeteksi sejak evaluasi 2026-07-15, bukan bug baru dari ablation ini)"
Hanya Gate 1 Aktif,gates_1,1,0.0,0.0,56.1,26.09,70.73,10.0,0.8534,0.931,4074.6,"Sumber: run ablation_20260724_gates_1, n=41 soal gold QA, 1 gate ACIF aktif"
Gate 1-2 Aktif,gates_1_2,2,0.0,0.0,58.54,29.17,70.73,10.0,0.9034,0.931,4027.2,"Sumber: run ablation_20260724_gates_1_2, n=41 soal gold QA, 2 gate ACIF aktif"
Gate 1-3 Aktif,gates_1_2_3,3,0.0,0.0,56.1,26.09,70.73,10.0,0.8793,0.9414,4172.2,"Sumber: run ablation_20260724_gates_1_2_3, n=41 soal gold QA, 3 gate ACIF aktif"
Gate 1-4 Aktif,gates_1_2_3_4,4,0.0,0.0,43.9,16.67,70.73,10.0,0.6185,0.6556,4230.1,"Sumber: run ablation_20260724_gates_1_2_3_4, n=41 soal gold QA, 4 gate ACIF aktif"
Semua Gate kecuali Gate 4,gates_all_minus_4,4,0.0,0.0,48.78,25.0,73.17,10.0,0.9188,0.9167,7126.6,"Sumber: run ablation_20260724_gates_all_minus_4, n=41 soal gold QA, 4 gate ACIF aktif"
Semua Gate kecuali Gate 3,gates_all_minus_3,4,0.0,0.0,39.02,12.5,92.68,0.0,0.8321,0.85,6166.7,"Sumber: run ablation_20260724_gates_all_minus_3, n=41 soal gold QA, 4 gate ACIF aktif"
Semua Gate kecuali Gate 2,gates_all_minus_2,4,0.0,0.0,41.46,11.76,95.12,0.0,0.8333,0.92,5676.7,"Sumber: run ablation_20260724_gates_all_minus_2, n=41 soal gold QA, 4 gate ACIF aktif"
Semua Gate kecuali Gate 1,gates_all_minus_1,4,0.0,0.0,46.34,21.05,92.68,10.0,0.7469,0.7937,10934.0,"Sumber: run ablation_20260724_gates_all_minus_1, n=41 soal gold QA, 4 gate ACIF aktif"
Semua Gate kecuali Gate 5 (≡ Gate 1-4 Aktif),gates_all_minus_5,4,0.0,0.0,43.9,16.67,70.73,10.0,0.6185,0.6556,4230.1,"Sumber: run ablation_20260724_gates_all_minus_5, n=41 soal gold QA, 4 gate ACIF aktif"
Semua Gate Aktif (5 Gate),gates_all,5,0.0,0.0,39.02,12.5,92.68,0.0,0.7214,0.7464,7167.8,"Sumber: run ablation_20260724_gates_all, n=41 soal gold QA, 5 gate ACIF aktif"
