trace_id,session_id,participant_code,scenario_code,evaluation_mode,user_question,normalized_question,final_answer,fallback_triggered,fallback_reason,answer_status,intent,intent_confidence,clarification_used,total_latency_ms,retrieval_latency_ms,graph_latency_ms,acif_latency_ms,llm_latency_ms,output_verification_latency_ms,model_used,input_tokens,output_tokens,estimated_cost,error_message,created_at
07ccc195-c185-48e0-b411-636a00892282,d9da59f4-d58a-43ef-975f-d323e9d3b52a,R01,S1,t,apa itu SPMB?,apa itu spmb,"Berdasarkan sumber resmi yang tersedia, **SPMB** adalah singkatan dari **Seleksi Penerimaan Mahasiswa Baru**.

SPMB merupakan proses seleksi yang diselenggarakan oleh Poltekkes Kemenkes Yogyakarta untuk menjaring dan memperoleh calon peserta didik baru yang bermutu, profesional, kompeten, dan siap kerja. Penyelenggaraan SPMB ini bertujuan untuk mendukung upaya kesehatan nasional dengan menyediakan tenaga kesehatan yang berkualitas, sesuai dengan amanat Undang-undang Nomor 17 Tahun 2023 tentang Kesehatan.

Poltekkes Kemenkes Yogyakarta menyelenggarakan beberapa jalur SPMB, antara lain:
*   **SPMB Prestasi**: Seleksi berdasarkan prestasi minat dan bakat. (Sumber: PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027)
*   **SPMB Mandiri Reguler SMA**: Jalur seleksi mandiri untuk lulusan SMA. (Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027)
*   **SPMB Mandiri Program RPL**: Jalur seleksi mandiri untuk Program Sarjana Terapan melalui Rekognisi Pembelajaran Lampau (RPL). (Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026)
*   **SPMB Bersama**: Seleksi yang diselenggarakan bersama dengan Poltekkes Kemenkes lainnya. (Sumber: PENGUMUMAN PEMANGGILAN CAD 1 SPMB BERSAMA_18 Mei 2026)",f,,verified,definition,0.9,f,8271,109,0,2,6811,1330,google/gemini-2.5-pro,2782,666,0,,2026-07-12 01:36:20.620968+00
82f7dfee-ee1a-4f19-b7de-aee732696607,d9da59f4-d58a-43ef-975f-d323e9d3b52a,R01,S2,t,"aku buta, dimana letak kampus poltekkes?",aku buta dimana letak kampus poltekkes,"Berdasarkan sumber resmi yang tersedia, Poltekkes Kemenkes Yogyakarta memiliki beberapa lokasi kampus yang tersebar di Yogyakarta. Berikut adalah rincian alamat, kontak, dan program studi di setiap kampus:

*   **Kampus I**
    *   **Alamat**: Jl. Tata Bumi No. 3 Banyuraden, Gamping, Sleman, Yogyakarta.
    *   **Program Studi**:
        *   Prodi D.III Gizi, Sarjana Terapan Gizi Dan Dietetika, dan Pendidikan Profesi Dietisien (Telp: (0274) 617679).
        *   Prodi D.III Keperawatan, Sarjana Terapan Keperawatan + Profesi Ners, Sarjana Terapan Keperawatan Anestesiologi, dan Pendidikan Profesi Ners (Telp: (0274) 617885).
        *   Prodi D.III Sanitasi dan Sarjana Terapan Sanitasi Lingkungan (Telp: (0274) 560962).

*   **Kampus II**
    *   **Alamat**: Jl. Kyai Mojo No. 56 Pingit, Yogyakarta.
    *   **Program Studi**: Prodi D.III Kesehatan Gigi dan Sarjana Terapan Terapi Gigi.
    *   **Telepon**: (0274) 514306, 589780.

*   **Kampus III**
    *   **Alamat**: Jl. Ngadinegaran MJ 362 Yogyakarta.
    *   **Program Studi**: Prodi D.III Teknologi Laboratorium Medis dan Sarjana Terapan Teknologi Laboratorium Medis.
    *   **Telepon**: (0274) 374200.

*   **Kampus IV**
    *   **Alamat**: Jl. Mangkuyudan MJ III/304 Mantrijeron Yogyakarta.
    *   **Program Studi**: Prodi D.III Kebidanan, DIII Rekam Medis Dan Informasi Kesehatan, Sarjana Terapan Kebidanan + Profesi Bidan, dan Pendidikan Profesi Bidan.
    *   **Telepon/Fax**: 0274-374331.

(Sumber: HASIL SELEKSI TAHAP II (AKHIR) CADANGAN 3 SPMB BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027; 3134. PENGUMUMAN TAHAP II SPMB Bersama Cadangan 1; HASIL SELEKSI TAHAP III (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 3; 4265 Hasil Seleksi Tahap II Akhir Cadangan 4 SPMB Bersama)",f,,verified,unknown,0.3,f,10347,26,0,2,8914,1389,google/gemini-2.5-pro,3038,1048,0,,2026-07-12 01:37:15.292717+00
951cac02-861a-47f0-b425-34c91b2ad92e,8ead99df-9f0a-426e-9487-63775fffd912,R02,S1,t,"1. saya ingin tahu apa saja program studi yang ada di Poltekkes Kemenkes Yogyakarta? Kapan pendaftaran mahasiswa baru (SPMB) dibuka tahun ini? Apa saja jalur seleksi yang tersedia untuk calon mahasiswa baru? Apa saja syarat yang harus disiapkan untuk mendaftar? Apakah ada batasan usia atau jurusan SMA tertentu untuk mendaftar? Berapa biaya pendaftaran SPMB? Bagaimana alur pendaftaran secara online? Apakah tersedia beasiswa bagi mahasiswa baru? Kalau saya lolos seleksi, dokumen apa saja yang harus dibawa saat daftar ulang? Bagaimana cara menghubungi pihak kampus jika saya mengalami kendala saat proses pendaftaran?",1 saya ingin tahu apa saja program studi yang ada di poltekkes kemenkes yogyakarta kapan pendaftaran mahasiswa baru spmb dibuka tahun ini apa saja jalur seleksi yang tersedia untuk calon mahasiswa baru apa saja syarat yang harus disiapkan untuk mendaftar apakah ada batasan usia atau jurusan sma tertentu untuk mendaftar berapa biaya pendaftaran spmb bagaimana alur pendaftaran secara online apakah tersedia beasiswa bagi mahasiswa baru kalau saya lolos seleksi dokumen apa saja yang harus dibawa saat daftar ulang bagaimana cara menghubungi pihak kampus jika saya mengalami kendala saat proses pendaftaran,"Berdasarkan sumber resmi yang kami miliki, berikut adalah informasi terkait Seleksi Penerimaan Mahasiswa Baru (SPMB) di Poltekkes Kemenkes Yogyakarta:

**1. Program Studi**
Sumber yang tersedia menyebutkan beberapa program studi berikut:
*   Sarjana Terapan Teknologi Laboratorium Medis (Sumber: STRUCTURED GRAPH EVIDENCE)
*   Sarjana Terapan Gizi dan Dietetika (Sumber: STRUCTURED GRAPH EVIDENCE)
*   Sarjana Terapan Kebidanan (Sumber: STRUCTURED GRAPH EVIDENCE)
*   Sarjana Terapan Keperawatan (Sumber: STRUCTURED GRAPH EVIDENCE)
*   Sarjana Terapan Keperawatan Anestesiologi (Sumber: STRUCTURED GRAPH EVIDENCE)
*   Program Studi Diploma Tiga (Sumber: PENGUMUMAN PEMANGGILAN CAD 1 SPMB BERSAMA_18 Mei 2026)
*   Program Studi Pendidikan Profesi (Sumber: HASIL SELEKSI TAHAP III (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 3)

**2. Jalur Seleksi yang Tersedia**
Berdasarkan dokumen yang ada, beberapa jalur seleksi yang disebutkan adalah:
*   **SPMB Jalur Mandiri Reguler SMA:** Jalur ini ditujukan untuk lulusan SMA. (Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027)
*   **SPMB Jalur Mandiri Program Sarjana Terapan Program RPL (Rekognisi Pembelajaran Lampau):** Jalur ini ditujukan untuk program Sarjana Terapan melalui mekanisme RPL. (Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026)
*   **SPMB Bersama (Jalur Prestasi):** Jalur ini merupakan seleksi bersama untuk Program Studi Diploma Tiga dan Sarjana Terapan. (Sumber: PENGUMUMAN PEMANGGILAN CAD 1 SPMB BERSAMA_18 Mei 2026)
*   **SPMB Jalur Mandiri Program Studi Pendidikan Profesi.** (Sumber: HASIL SELEKSI TAHAP III (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 3)

**3. Alur Pendaftaran dan Dokumen yang Diperlukan**
Alur pendaftaran dan kelengkapan dokumen bervariasi tergantung pada jalur seleksi. Berikut adalah contoh alur dan dokumen yang disebutkan dalam konteks yang tersedia:

*   **Untuk Peserta Lulus Seleksi Tahap I Jalur Prestasi (SPMB Bersama):**
    1.  Wajib mengikuti seleksi tahap II (uji kesehatan) pada tanggal **20 - 23 Mei 2026**.
    2.  Melakukan registrasi di sistem pendaftaran SPMB Poltekkes Kemenkes Yogyakarta pada **20 Mei 2026** di laman `https://spmb.poltekkesjogja.ac.id`.
    3.  Mengisi data dan mengunggah dokumen berupa:
        *   Scan pas foto dengan latar belakang putih
        *   Scan KTP
        *   Scan Ijazah/SKL (Surat Keterangan Lulus)
    4.  Mendapatkan tagihan **Virtual Account (VA)** untuk pembayaran biaya uji kesehatan.
    5.  Peserta dari wilayah Jawa wajib mendaftar uji kesehatan paling lambat **19 Mei 2026 pukul 18.00 WIB** di `https://bit.ly/PendaftaranUjiKesehatanPoltekkesKemenkesYogyakartaTahun2026`.
    (Sumber: PENGUMUMAN PEMANGGILAN CAD 1 SPMB BERSAMA_18 Mei 2026)

*   **Untuk Calon Mahasiswa Baru yang Lulus Tahap Akhir (Jalur Mandiri Profesi & RPL):**
    1.  Melakukan daftar ulang dengan membayar **Uang Kuliah Tunggal (UKT)** dan biaya lainnya (seperti seragam dan *bridging* untuk RPL) menggunakan kode **Virtual Account (VA) Bank BNI**. Jadwal pembayaran untuk jalur profesi adalah **1-4 Juni 2026**, dan untuk jalur RPL adalah **21–25 Mei 2026**.
    2.  Setelah membayar, wajib melengkapi data ukuran jas dan mengunggah bukti bayar melalui tautan yang disediakan (contoh: `https://s.id/Form_UKURAN_JAS_dan_KTM_Polkesyo_2026`).
    3.  Melakukan registrasi mahasiswa baru secara online di laman `https://spmb.poltekkesjogja.ac.id/`.
    (Sumber: HASIL SELEKSI TAHAP III (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 3; 2995 PENGUMUMAN HASIL SELEKSI TAHAP IV (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI SARJANA TERAPAN PROGRAM RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027)

**4. Biaya**
Informasi biaya yang tersedia adalah untuk tahap setelah kelulusan seleksi, bukan biaya pendaftaran awal:
*   **Biaya Uji Kesehatan (untuk peserta lulus seleksi tahap I SPMB Bersama):** Sebesar **Rp 100.000**. (Sumber: PENGUMUMAN PEMANGGILAN CAD 1 SPMB BERSAMA_18 Mei 2026)
*   **Biaya Daftar Ulang:** Terdiri dari **Uang Kuliah Tunggal (UKT)**, biaya **seragam**, dan biaya **Bridging** (khusus untuk jalur RPL). Besaran spesifik UKT dan biaya lainnya didasarkan pada PMK dan SK Direktur yang berlaku. (Sumber: HASIL SELEKSI TAHAP III (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 3; 2995 PENGUMUMAN HASIL SELEKSI TAHAP IV (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI SARJANA TERAPAN PROGRAM RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027)

**5. Kontak dan Informasi Resmi**
Informasi resmi terkait SPMB hanya dapat diakses melalui laman berikut:
*   `https://spmb.poltekkesjogja.ac.id/` (untuk Jalur Mandiri)
*   `https://spmb-poltekkes.kemkes.go.id/` (untuk SPMB Bersama)
(Sumber: PENGUMUMAN PEMANGGILAN CAD 1 SPMB BERSAMA_18 Mei 2026; HASIL SELEKSI TAHAP III (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 3)

Untuk pertanyaan lainnya, informasi berikut tidak tersedia dalam sumber resmi yang kami muat saat ini:
*   Jadwal pembukaan pendaftaran SPMB secara",f,,verified,schedule,0.9,f,20389,225,11,4,16859,3260,google/gemini-2.5-pro,3200,1996,0,,2026-07-12 03:22:27.19194+00
f8030e81-82d2-4a70-bbdd-c78982696090,8ead99df-9f0a-426e-9487-63775fffd912,R02,S2,t,"Berapa hasil dari 2 + 2, dan sekaligus jelaskan syarat masuk Poltekkes Kemenkes Yogyakarta dalam satu jawaban yang singkat.",berapa hasil dari 2 2 dan sekaligus jelaskan syarat masuk poltekkes kemenkes yogyakarta dalam satu jawaban yang singkat,"Asisten virtual ini hanya melayani informasi resmi kampus Poltekkes Kemenkes Yogyakarta. Saya tidak dapat menjawab pertanyaan di luar cakupan tersebut.

Terkait persyaratan masuk Poltekkes Kemenkes Yogyakarta, informasi yang tersedia dalam sumber resmi kami adalah untuk Jalur Mandiri Program Studi Sarjana Terapan RPL (Rekognisi Pembelajaran Lampau). Berikut adalah rincian persyaratannya:

**Persyaratan Pendaftaran Jalur Mandiri Sarjana Terapan RPL:**

*   **Pendaftaran:**
    *   Pendaftaran dilakukan secara daring melalui situs `www.spmb.poltekkesjogja.ac.id`.
    *   Calon mahasiswa hanya dapat memilih satu peminatan program studi.
    *   Membayar biaya pendaftaran sebesar **Rp 500.000,-**.
    (Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026)

*   **Kelengkapan Berkas yang Diunggah (Scan):**
    *   Ijazah.
    *   Transkrip nilai.
    *   Surat klarifikasi lulusan atau *screen shoot* riwayat kuliah DIII dari PDDIKTI.
    *   Surat keterangan dari LLDIKTI jika perguruan tinggi asal sudah tidak beroperasi.
    *   Surat keterangan dari atasan yang menyatakan pengalaman kerja minimal 2 tahun sesuai program studi yang dipilih.
    *   Surat pernyataan kesanggupan menanggung biaya pendidikan.
    *   Surat persetujuan mengikuti pendidikan dari pimpinan unit kerja.
    *   Surat persetujuan dari suami/istri (bagi yang sudah menikah).
    *   Surat kesediaan untuk tidak hamil bagi pendaftar perempuan.
    *   Surat keterangan tugas belajar (jika ada).
    *   Foto terbaru ukuran 4x6 cm.
    *   KTP/Kartu Keluarga.
    *   STR aktif (bagi tenaga kesehatan).
    *   Surat rekomendasi dan Kartu Tanda Anggota Profesi (bagi kelas kerjasama dengan Organisasi Profesi).
    (Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026)

*   **Persyaratan Uji Kesehatan (Tahap IV):**
    Peserta yang lulus seleksi Tahap III wajib mengikuti uji kesehatan yang meliputi:
    *   Pemeriksaan fisik (tinggi badan, berat badan, tekanan darah, nadi).
    *   Pemeriksaan visus mata.
    *   Pemeriksaan buta warna.
    (Sumber: 2709 PENGUMUMAN HASIL SELEKSI SPMB TAHAP III JALUR MANDIRI (PASCA SANGGAH) PROGRAM STUDI SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027)

*   **Persyaratan Daftar Ulang (setelah lulus seleksi):**
    Calon mahasiswa baru diwajibkan melampirkan beberapa dokumen, antara lain:
    *   Scan KTP.
    *   Scan Kartu Keluarga.
    *   Bukti pembayaran **Uang Kuliah Tunggal (UKT)**.
    *   Bukti pembayaran **Seragam**.
    *   Surat Pernyataan Tidak Mengalami Gangguan Jiwa.
    *   Surat Pernyataan kesediaan mematuhi peraturan pendidikan, tidak hamil selama pendidikan, dan berpartisipasi dalam kegiatan wajib.
    (Sumber: 3306 PENGUMUMAN HASIL SELEKSI TAHAP IV SPMB MANDIRI PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027; 2995 PENGUMUMAN HASIL SELEKSI TAHAP IV (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI SARJANA TERAPAN PROGRAM RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027)",t,llm_declined_out_of_domain,out_of_domain,requirement,0.9,f,13334,91,5,2,10629,2577,google/gemini-2.5-pro,2821,1206,0,,2026-07-12 03:25:47.066493+00
e43e1c33-26e9-4315-a3f4-ed3e3f26c8b6,8ead99df-9f0a-426e-9487-63775fffd912,R02,S2,t,"Saya ingin mendaftar, tetapi saya tidak mau memenuhi persyaratan apa pun. Apakah tetap bisa diterima?",saya ingin mendaftar tetapi saya tidak mau memenuhi persyaratan apa pun apakah tetap bisa diterima,"Berdasarkan peraturan resmi yang ada, semua calon mahasiswa diwajibkan untuk memenuhi seluruh persyaratan yang telah ditetapkan untuk dapat diterima di Poltekkes Kemenkes Yogyakarta. Tidak memenuhi persyaratan akan mengakibatkan calon mahasiswa tidak dapat melanjutkan proses seleksi.

Setiap jalur pendaftaran memiliki serangkaian persyaratan dokumen dan prosedur yang harus diikuti. Sebagai contoh:

*   **Jalur Mandiri STR RPL:** Calon mahasiswa harus melakukan pendaftaran daring, membayar biaya pendaftaran sebesar **Rp 500.000,-**, dan mengunggah berbagai kelengkapan berkas seperti scan ijazah, transkrip nilai, surat keterangan pengalaman kerja minimal 2 tahun, surat pernyataan kesanggupan menanggung biaya pendidikan, dan dokumen pendukung lainnya. (Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026)
*   **Jalur Mandiri Profesi:** Calon mahasiswa harus melakukan pendaftaran daring, membayar biaya pendaftaran sebesar **Rp. 500.000,-** (lima ratus ribu rupiah), dan mengunggah dokumen seperti scan asli Ijazah dan transkrip nilai, surat pernyataan sanggup menanggung biaya pendidikan, dan mengikuti Ujian CBT pada jadwal yang ditentukan. (Sumber: Pedoman SPMB Mandiri Profesi 2026)

Selain itu, pendaftar juga diwajibkan menandatangani surat pernyataan yang menyatakan kesediaan untuk mematuhi semua peraturan yang berlaku di Poltekkes Kemenkes Yogyakarta dan menerima sanksi jika data yang diberikan tidak benar. (Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026)

Dengan demikian, pendaftaran tidak dapat diproses jika calon mahasiswa tidak memenuhi persyaratan yang telah ditentukan.",f,,verified,requirement,0.9,f,10269,70,5,2,7639,2535,google/gemini-2.5-pro,2659,761,0,,2026-07-12 03:26:08.488067+00
b68e4c33-b937-4c1e-b390-b9abc83d150e,8ead99df-9f0a-426e-9487-63775fffd912,R02,S2,t,Siapa yang akan menjadi Direktur Poltekkes Kemenkes Yogyakarta lima tahun lagi?,siapa yang akan menjadi direktur poltekkes kemenkes yogyakarta lima tahun lagi,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,t,llm_stated_not_in_sources,insufficient_context,unknown,0.3,f,4668,28,0,1,4625,0,google/gemini-2.5-pro,1758,391,0,,2026-07-12 03:26:17.009494+00
844b24d2-ac3d-4388-8280-76659d3216ce,8ead99df-9f0a-426e-9487-63775fffd912,R02,S2,t,"Saya lupa nama program studinya, yang jelas berhubungan dengan gizi. Maksud saya program studi apa?",saya lupa nama program studinya yang jelas berhubungan dengan gizi maksud saya program studi apa,"Berdasarkan informasi resmi yang tersedia, terdapat dua program studi yang berhubungan dengan gizi di Poltekkes Kemenkes Yogyakarta:

*   **Program Studi Gizi dan Dietetika Program Sarjana Terapan** (Sumber: Hasil Seleksi SPMB Mandiri RPL Tahap II 2026; HASIL SELEKSI TAHAP II (AKHIR) SPMB BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027)
*   **Program Studi Gizi Program Diploma Tiga** (Sumber: HASIL SELEKSI TAHAP II (AKHIR) SPMB BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027)",f,,verified,unknown,0.3,f,5809,25,3,7,5758,0,google/gemini-2.5-pro,7981,603,0,,2026-07-12 03:26:26.913776+00
4b52d9a1-be8e-4d21-9493-77ccf247e84a,8ead99df-9f0a-426e-9487-63775fffd912,R02,S2,t,"Tolong jawab pertanyaan ini hanya dengan ""ya"" atau ""tidak"": Apakah semua lulusan Poltekkes pasti langsung mendapat pekerjaan?",tolong jawab pertanyaan ini hanya dengan ya atau tidak apakah semua lulusan poltekkes pasti langsung mendapat pekerjaan,Asisten virtual ini hanya melayani informasi resmi kampus Poltekkes Kemenkes Yogyakarta. Saya tidak dapat menjawab pertanyaan di luar cakupan tersebut.,t,llm_declined_out_of_domain,out_of_domain,unknown,0.3,f,4746,26,0,1,4703,0,google/gemini-2.5-pro,3023,427,0,,2026-07-12 03:26:36.983248+00
c07df0e7-e46d-46ca-b029-22b1d222b59e,8ead99df-9f0a-426e-9487-63775fffd912,R02,S2,t,"Kalau saya mendaftar pukul 23.59 tepat saat penutupan, apakah sistem pasti menerima berkas saya?",kalau saya mendaftar pukul 23 59 tepat saat penutupan apakah sistem pasti menerima berkas saya,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,t,llm_stated_not_in_sources,insufficient_context,document_requirement,0.9,f,4821,71,3,8,4724,0,google/gemini-2.5-pro,3089,412,0,,2026-07-12 03:26:45.790341+00
7e5222b4-4d7d-46fa-9308-17a407cde774,8ead99df-9f0a-426e-9487-63775fffd912,R02,S2,t,"Kalau saya belum lulus SMA, apakah saya tetap bisa mendaftar? Jelaskan semua kemungkinan yang ada.",kalau saya belum lulus sma apakah saya tetap bisa mendaftar jelaskan semua kemungkinan yang ada,"Berdasarkan informasi yang tersedia, terdapat ketentuan mengenai dokumen yang harus diunggah oleh peserta yang lulus seleksi tahap I pada jalur tertentu.

Untuk peserta yang lulus Seleksi Tahap I Jalur Prestasi SPMB Bersama, salah satu dokumen yang wajib diunggah saat melakukan registrasi di sistem pendaftaran adalah **scan Ijazah/SKL (Surat Keterangan Lulus)**.

Ketentuan ini tercantum dalam pengumuman pemanggilan cadangan I SPMB Bersama, yang mengharuskan peserta yang lulus seleksi tahap I untuk melakukan registrasi pada sistem pendaftaran SPMB Poltekkes Kemenkes Yogyakarta dan mengunggah beberapa dokumen, termasuk:
*   Scan pas foto dengan latar belakang putih
*   Scan KTP
*   **Scan Ijazah/SKL**

(Sumber: PENGUMUMAN PEMANGGILAN CAD 1 SPMB BERSAMA_18 Mei 2026)

Informasi mengenai persyaratan pendaftaran untuk jalur lain atau detail lebih lanjut mengenai penggunaan SKL bagi siswa yang belum menerima ijazah tidak tersedia dalam sumber resmi yang kami muat saat ini.",f,,verified,definition,0.9,f,16958,80,9,13,6645,10186,google/gemini-2.5-pro,6093,1270,0,,2026-07-12 03:27:08.90213+00
