trace_id,session_id,participant_code,scenario_code,evaluation_mode,user_question,normalized_question,final_answer,fallback_triggered,fallback_reason,answer_status,rewritten_queries,detected_terms,expanded_terms,intent,intent_confidence,clarification_used,total_latency_ms,retrieval_latency_ms,graph_latency_ms,acif_latency_ms,llm_latency_ms,output_verification_latency_ms,model_used,input_tokens,output_tokens,estimated_cost,error_message,created_at
6e391486-d349-4aaa-9fbb-235be4400fcc,4ea8104a-9543-4c8f-8705-e01bec078ac7,,gold_qa:Q001,t,Apa saja syarat tinggi badan untuk pendaftar SPMB Jalur Mandiri Reguler SMA program studi Keperawatan dan Kebidanan?,apa saja syarat tinggi badan untuk pendaftar spmb jalur mandiri reguler sma program studi keperawatan dan kebidanan,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,t,llm_stated_not_in_sources,insufficient_context,"[""apa saja syarat tinggi badan untuk pendaftar spmb jalur mandiri reguler sma program studi keperawatan dan kebidanan"", ""apa saja syarat tinggi badan untuk pendaftar spmb seleksi penerimaan mahasiswa baru jalur mandiri reguler sma program studi keperawatan dan kebidanan"", ""persyaratan seleksi penerimaan mahasiswa baru"", ""apa saja syarat tinggi badan untuk pendaftar spmb jalur mandiri reguler sma program studi keperawatan dan kebidanan persyaratan""]","[""spmb"", ""persyaratan""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",requirement,0.9,f,6114,607,80,66,5266,1,google/gemini-2.5-pro,4379,411,0,,2026-07-14 06:17:26.539894+00
6b064eed-4b7d-4911-a4ea-a246ad5d1abe,41615228-ab2a-4d77-9261-4729bd529d80,,gold_qa:Q003,t,Apa saja komponen dan durasi Tes Potensi Skolastik dan Literasi pada SPMB Jalur Mandiri Reguler SMA?,apa saja komponen dan durasi tes potensi skolastik dan literasi pada spmb jalur mandiri reguler sma,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,t,llm_stated_not_in_sources,insufficient_context,"[""apa saja komponen dan durasi tes potensi skolastik dan literasi pada spmb jalur mandiri reguler sma"", ""apa saja komponen dan durasi tes potensi skolastik dan literasi pada spmb seleksi penerimaan mahasiswa baru jalur mandiri reguler sma"", ""prosedur alur seleksi penerimaan mahasiswa baru""]","[""spmb""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",procedure,0.9,f,6183,608,71,49,5358,0,google/gemini-2.5-pro,3574,412,0,,2026-07-14 06:17:26.613593+00
39c60c21-74ac-40fc-b26c-b1762c0f0400,55405207-c0a7-47de-b5e2-78b478f97c6c,,gold_qa:Q004,t,Dokumen apa saja yang perlu disiapkan saat daftar ulang mahasiswa baru jalur mandiri reguler SMA?,dokumen apa saja yang perlu disiapkan saat daftar ulang mahasiswa baru jalur mandiri reguler sma,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,t,llm_stated_not_in_sources,insufficient_context,"[""dokumen apa saja yang perlu disiapkan saat daftar ulang mahasiswa baru jalur mandiri reguler sma"", ""dokumen persyaratan pendaftaran dokumen"", ""dokumen apa saja yang perlu disiapkan saat daftar ulang mahasiswa baru jalur mandiri reguler sma pendaftaran""]","[""pendaftaran"", ""dokumen""]",[],document_requirement,0.9,f,4837,9,59,26,4723,0,google/gemini-2.5-pro,3105,357,0,,2026-07-14 06:17:31.426756+00
dfad8588-993d-420d-828d-478a16ca7a56,c00f9994-cc9e-494a-8036-b46a2753f785,,gold_qa:Q002,t,Bagaimana mekanisme pendaftaran SPMB Jalur Mandiri Reguler SMA dan berapa biaya pendaftarannya?,bagaimana mekanisme pendaftaran spmb jalur mandiri reguler sma dan berapa biaya pendaftarannya,"Berdasarkan informasi resmi yang tersedia, berikut adalah informasi mengenai Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Mandiri.

Informasi yang tersedia secara spesifik menyebutkan SPMB Jalur Mandiri secara umum, yang mencakup lulusan SMA/sederajat. Rinciannya adalah sebagai berikut:

**Persyaratan Pendaftaran:**
Calon mahasiswa wajib melampirkan dokumen-dokumen berikut:
*   Ijazah SMA atau sederajat
*   Kartu Keluarga
*   Pas foto terbaru ukuran 3x4

**Mekanisme dan Jadwal Pendaftaran:**
*   Pendaftaran dilakukan melalui portal sipenmaru.
*   Jadwal pendaftaran dibuka mulai **1 Juli 2026 hingga 31 Juli 2026**.

**Biaya Pendaftaran:**
*   Biaya pendaftaran untuk jalur mandiri adalah sebesar **Rp 350.000**.
*   Biaya ini dibayarkan melalui bank yang ditunjuk dan tidak dapat dikembalikan.

**Tahapan Seleksi:**
Proses seleksi terdiri dari beberapa tahapan, yaitu:
1.  Seleksi administrasi
2.  Ujian tulis berbasis komputer (CBT)
3.  Tes kesehatan di klinik kampus Poltekkes Kemenkes Yogyakarta

(Sumber: Panduan SPMB Jalur Mandiri 2026 (Uji))",f,,verified,"[""bagaimana mekanisme pendaftaran spmb jalur mandiri reguler sma dan berapa biaya pendaftarannya"", ""bagaimana mekanisme pendaftaran spmb seleksi penerimaan mahasiswa baru jalur mandiri reguler sma dan berapa biaya pendaftarannya"", ""biaya seleksi penerimaan mahasiswa baru""]","[""spmb"", ""pendaftaran"", ""biaya""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",fee,0.9,f,11327,616,59,36,8389,2137,google/gemini-2.5-pro,4237,694,0,,2026-07-14 06:17:31.756915+00
1cd444e3-f65d-456d-9db3-55ca02a140f1,ce729da1-3803-47c5-881d-437ea206bb28,,gold_qa:Q005,t,Apakah biaya yang sudah dikeluarkan pendaftar SPMB Mandiri Reguler SMA dapat ditarik kembali?,apakah biaya yang sudah dikeluarkan pendaftar spmb mandiri reguler sma dapat ditarik kembali,"Berdasarkan informasi resmi yang tersedia, biaya yang telah dibayarkan oleh calon mahasiswa baru tidak dapat ditarik kembali.

Menurut **Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027**, calon mahasiswa baru yang telah mendaftar ulang dan menyelesaikan proses administratif, kemudian memutuskan untuk mengundurkan diri, diwajibkan untuk membuat surat pernyataan pengunduran diri.

Ketentuan mengenai biaya yang telah dibayarkan adalah sebagai berikut:
*   Calon mahasiswa wajib membuat **surat pernyataan pengunduran diri bermaterai Rp 10.000,-**.
*   Semua biaya daftar ulang yang telah dibayarkan atas nama Poltekkes Kemenkes Yogyakarta **tidak dapat diambil kembali dengan alasan apapun**.

(Sumber: Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027)",f,,verified,"[""apakah biaya yang sudah dikeluarkan pendaftar spmb mandiri reguler sma dapat ditarik kembali"", ""apakah biaya yang sudah dikeluarkan pendaftar spmb seleksi penerimaan mahasiswa baru mandiri reguler sma dapat ditarik kembali"", ""biaya seleksi penerimaan mahasiswa baru""]","[""spmb"", ""biaya""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",fee,0.9,f,9668,316,65,9,6894,2364,google/gemini-2.5-pro,4684,595,0,,2026-07-14 06:17:36.304136+00
5cc5947e-bab8-49fe-85c6-bca466f6fbf2,35c504cd-1c2b-49eb-a08b-41c412889b29,,gold_qa:Q006,t,Program studi apa saja yang bisa dituju melalui jalur RPL (Rekognisi Pembelajaran Lampau) Sarjana Terapan?,program studi apa saja yang bisa dituju melalui jalur rpl rekognisi pembelajaran lampau sarjana terapan,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,t,llm_stated_not_in_sources,insufficient_context,"[""program studi apa saja yang bisa dituju melalui jalur rpl rekognisi pembelajaran lampau sarjana terapan"", ""prosedur alur penerimaan mahasiswa baru poltekkes""]",[],[],procedure,0.9,f,5347,6,58,21,5236,0,google/gemini-2.5-pro,4301,407,0,,2026-07-14 06:17:36.806552+00
8dad0142-47fd-4dd4-93b5-05abba9add14,e3981b5c-7929-476e-98fb-89ff302bdab8,,gold_qa:Q009,t,Berapa tahapan seleksi SPMB Prestasi berdasarkan Prestasi Minat dan Bakat?,berapa tahapan seleksi spmb prestasi berdasarkan prestasi minat dan bakat,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,t,llm_stated_not_in_sources,insufficient_context,"[""berapa tahapan seleksi spmb prestasi berdasarkan prestasi minat dan bakat"", ""berapa tahapan seleksi spmb seleksi penerimaan mahasiswa baru prestasi berdasarkan prestasi minat dan bakat"", ""prosedur alur seleksi penerimaan mahasiswa baru""]","[""spmb""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",procedure,0.9,f,5250,6,0,5,5218,0,google/gemini-2.5-pro,3594,402,0,,2026-07-14 06:17:42.957836+00
36ccc34e-9af2-476c-a9fa-72336d657bc1,5e7dc5e5-4ec5-402f-8c0e-4a3c23ed90ba,,gold_qa:Q007,t,Bagaimana proses penentuan kelulusan Tahap III dan Tahap IV pada SPMB Jalur Mandiri RPL?,bagaimana proses penentuan kelulusan tahap iii dan tahap iv pada spmb jalur mandiri rpl,"Berdasarkan pedoman resmi, berikut adalah proses penentuan kelulusan Tahap III dan Tahap IV pada Seleksi Penerimaan Mahasiswa Baru (SPMB) Jalur Mandiri Program Sarjana Terapan (STR) RPL:

**Tahap III: Kelulusan Berdasarkan Konversi Nilai dan Asesmen**
Kelulusan pada tahap ini didasarkan pada hasil konversi nilai dan asesmen yang dilakukan sesuai dengan kriteria penilaian yang telah ditetapkan. (Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026)

**Tahap IV: Kelulusan Berdasarkan Tes Kesehatan**
Kelulusan pada tahap ini ditentukan berdasarkan hasil tes kesehatan yang dilakukan oleh tim yang ditunjuk oleh Poltekkes Kemenkes Yogyakarta. Tes ini meliputi:
*   Sehat fisik
*   Psikologi
*   Tidak menggunakan narkoba
*   Tidak hamil (bagi perempuan)

Biaya untuk uji kesehatan ini adalah **Rp 600.000,-**. (Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026)

**Penetapan Kelulusan Akhir**
Seorang peserta dinyatakan lulus secara final setelah berhasil melewati semua tahapan seleksi. Penetapan kelulusan ini akan diumumkan secara resmi oleh Ketua Panitia Poltekkes Kemenkes Yogyakarta dan diketahui oleh Direktur. Dalam penetapan tersebut, akan ditentukan peserta yang termasuk dalam kategori **lulus utama** dan **lulus cadangan**. (Sumber: PEDOMAN SPMB JALUR MANDIRI STR RPL 2026)",f,,verified,"[""bagaimana proses penentuan kelulusan tahap iii dan tahap iv pada spmb jalur mandiri rpl"", ""bagaimana proses penentuan kelulusan tahap iii dan tahap iv pada spmb seleksi penerimaan mahasiswa baru jalur mandiri rpl"", ""prosedur alur seleksi penerimaan mahasiswa baru""]","[""spmb""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",procedure,0.9,f,10241,7,54,16,8099,2044,google/gemini-2.5-pro,3139,733,0,,2026-07-14 06:17:43.52305+00
8a44f4a0-9083-425e-8506-bbe22112d41d,5e058e16-78fe-4738-91cb-d2bfc8c19f8d,,gold_qa:Q008,t,Apakah biaya daftar ulang SPMB Jalur Mandiri RPL dapat diambil kembali jika calon mahasiswa mengundurkan diri?,apakah biaya daftar ulang spmb jalur mandiri rpl dapat diambil kembali jika calon mahasiswa mengundurkan diri,Saya tidak menemukan informasi ini dalam sumber resmi yang dimuat. Silakan merujuk ke saluran informasi resmi Poltekkes Kemenkes Yogyakarta atau hubungi unit terkait.,t,Low confidence: 50.0%,fallback_enforced,"[""apakah biaya daftar ulang spmb jalur mandiri rpl dapat diambil kembali jika calon mahasiswa mengundurkan diri"", ""apakah biaya daftar ulang spmb seleksi penerimaan mahasiswa baru jalur mandiri rpl dapat diambil kembali jika calon mahasiswa mengundurkan diri"", ""biaya seleksi penerimaan mahasiswa baru"", ""apakah biaya daftar ulang spmb jalur mandiri rpl dapat diambil kembali jika calon mahasiswa mengundurkan diri pendaftaran""]","[""spmb"", ""pendaftaran"", ""biaya""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",fee,0.9,f,8559,314,58,18,6548,1594,google/gemini-2.5-pro,4228,493,0,,2026-07-14 06:17:45.402932+00
d7ef04ec-7e01-4aa0-8bf9-0e81d1fbb03e,2f8db0ae-a6ca-4229-bc58-41af40f715f7,,gold_qa:Q011,t,Berapa maksimal jumlah prestasi terbaik yang dapat dicantumkan dalam portofolio SPMB Prestasi?,berapa maksimal jumlah prestasi terbaik yang dapat dicantumkan dalam portofolio spmb prestasi,Informasi ini tidak tersedia dalam sumber resmi yang kami muat saat ini.,t,llm_stated_not_in_sources,insufficient_context,"[""berapa maksimal jumlah prestasi terbaik yang dapat dicantumkan dalam portofolio spmb prestasi"", ""berapa maksimal jumlah prestasi terbaik yang dapat dicantumkan dalam portofolio spmb seleksi penerimaan mahasiswa baru prestasi""]","[""spmb""]","[""seleksi penerimaan mahasiswa baru"", ""pmb"", ""penerimaan mahasiswa baru"", ""seleksi mahasiswa baru""]",unknown,0.3,f,4912,5,0,3,4872,0,google/gemini-2.5-pro,4360,373,0,,2026-07-14 06:17:49.843555+00
