gate_number,metric,gates_all_value,gates_all_minus_n_value,delta,percent_change,significant
1,precision_at_3,,,,,
1,recall_at_3,,,,,
1,hit_rate_at_3,,,,,
1,faithfulness_score,,,,,
1,answer_relevance_score,,,,,
1,total_latency_ms,,,,,
1,citation_correct,,,,,
1,fallback_correct,,,,,
2,precision_at_3,,,,,
2,recall_at_3,,,,,
2,hit_rate_at_3,,,,,
2,faithfulness_score,,,,,
2,answer_relevance_score,,,,,
2,total_latency_ms,,,,,
2,citation_correct,,,,,
2,fallback_correct,,,,,
3,precision_at_3,,,,,
3,recall_at_3,,,,,
3,hit_rate_at_3,,,,,
3,faithfulness_score,,,,,
3,answer_relevance_score,,,,,
3,total_latency_ms,,,,,
3,citation_correct,,,,,
3,fallback_correct,,,,,
4,precision_at_3,,,,,
4,recall_at_3,,,,,
4,hit_rate_at_3,,,,,
4,faithfulness_score,,,,,
4,answer_relevance_score,,,,,
4,total_latency_ms,,,,,
4,citation_correct,,,,,
4,fallback_correct,,,,,
5,precision_at_3,,,,,
5,recall_at_3,,,,,
5,hit_rate_at_3,,,,,
5,faithfulness_score,,,,,
5,answer_relevance_score,,,,,
5,total_latency_ms,,,,,
5,citation_correct,,,,,
5,fallback_correct,,,,,
